町名,世帯数,人口（男）,人口（女）,人口（計）,class
相生町,837,998,968,1966,100
赤松町,1019,1544,1471,3015,90
朝日町,775,881,738,1619,80
安城町,3134,3910,3835,7745,70
井杭山町,304,391,387,778,60
池浦町,1755,2279,2212,4491,50
石井町,270,404,398,802,40
和泉町,1962,2689,2317,5006,30
今池町,2985,3704,3629,7333,20
今本町,1759,2114,1710,3824,10
宇頭茶屋町,329,432,461,893,0
榎前町,708,1119,1084,2203,100
大岡町,210,342,305,647,90
小川町,2063,2893,2905,5798,80
尾崎町,200,303,308,611,70
柿碕町,302,432,434,866,60
川島町,187,315,280,595,50
河野町,56,103,104,207,40
北山崎町,233,334,325,659,30
木戸町,110,190,200,390,20
小堤町,399,469,434,903,10
桜井町,2700,3657,3482,7139,0
桜町,1063,1360,1285,2645,100
篠目町,2261,3260,3008,6268,90
里町,3733,5200,4899,10099,80
昭和町,592,696,607,1303,70
新田町,1147,1565,1555,3120,60
城ケ入町,658,962,976,1938,50
上条町,512,723,676,1399,40
寺領町,89,156,131,287,30
末広町,146,166,165,331,20
住吉町,3007,3875,3572,7447,10
高木町,130,224,190,414,0
高棚町,1455,2251,2287,4538,100
大東町,1438,1691,1839,3530,90
東栄町,2778,3668,3217,6885,80
錦町,281,353,295,648,70
西別所町,310,407,420,827,60
二本木町,899,1174,1088,2262,50
根崎町,681,1109,1051,2160,40
野寺町,167,266,254,520,30
橋目町,133,198,193,391,20
花ノ木町,190,217,227,444,10
浜屋町,344,389,316,705,0
東端町,1189,1780,1796,3576,100
東別所町,446,557,582,1139,90
東町,371,549,568,1117,80
日の出町,522,610,579,1189,70
姫小川町,861,1166,1100,2266,60
福釜町,1531,2257,2309,4566,50
藤井町,680,878,553,1431,40
古井町,2761,3678,3754,7432,30
別郷町,194,148,234,382,20
弁天町,502,566,480,1046,10
堀内町,428,637,654,1291,0
美園町,2046,2494,2502,4996,100
緑町,1243,1552,1447,2999,90
南町,436,523,465,988,80
箕輪町,900,1333,1311,2644,70
御幸本町,470,551,558,1109,60
村高町,79,147,130,277,50
明治本町,561,644,638,1282,40
山崎町,174,279,249,528,30
二本木新町,1175,1384,1216,2600,20
横山町,3129,4090,3943,8033,10
大山町,922,1202,1209,2411,0
城南町,628,792,720,1512,100
百石町,1015,1304,1230,2534,90
新明町,579,642,678,1320,80
東新町,471,546,490,1036,70
東明町,308,381,406,787,60
浜富町,309,382,350,732,50
法連町,439,476,439,915,40
三河安城町,907,1082,944,2026,30
三河安城東町,754,901,777,1678,20
三河安城本町,1133,1395,1253,2648,10
三河安城南町,653,763,721,1484,0
