"2011年国際航空旅客動態調査","　","　"
"直前地","直後地","人数"
"01_北米西海岸","01_北米西海岸","2864"
"02_北米東海岸","01_北米西海岸","0"
"03_ハワイ","01_北米西海岸","0"
"04_グアム・サイパン","01_北米西海岸","16812"
"05_香港・マカオ","01_北米西海岸","24109"
"06_台湾","01_北米西海岸","85638"
"07_韓国","01_北米西海岸","113526"
"08_中国","01_北米西海岸","53364"
"09_マレーシア","01_北米西海岸","4297"
"10_シンガポール","01_北米西海岸","40076"
"11_タイ","01_北米西海岸","33048"
"12_ベトナム","01_北米西海岸","24096"
"13_インドネシア","01_北米西海岸","0"
"14_フィリピン","01_北米西海岸","96200"
"15_西南アジア","01_北米西海岸","4118"
"16_中近東","01_北米西海岸","0"
"17_オセアニア","01_北米西海岸","4450"
"18_ヨーロッパ","01_北米西海岸","1432"
"19_アフリカ","01_北米西海岸","0"
"20_中南米","01_北米西海岸","2200"
"01_北米西海岸","02_北米東海岸","0"
"02_北米東海岸","02_北米東海岸","0"
"03_ハワイ","02_北米東海岸","2149"
"04_グアム・サイパン","02_北米東海岸","15987"
"05_香港・マカオ","02_北米東海岸","49728"
"06_台湾","02_北米東海岸","129404"
"07_韓国","02_北米東海岸","176752"
"08_中国","02_北米東海岸","80993"
"09_マレーシア","02_北米東海岸","1330"
"10_シンガポール","02_北米東海岸","22125"
"11_タイ","02_北米東海岸","88700"
"12_ベトナム","02_北米東海岸","91162"
"13_インドネシア","02_北米東海岸","13933"
"14_フィリピン","02_北米東海岸","221218"
"15_西南アジア","02_北米東海岸","0"
"16_中近東","02_北米東海岸","0"
"17_オセアニア","02_北米東海岸","2303"
"18_ヨーロッパ","02_北米東海岸","0"
"19_アフリカ","02_北米東海岸","0"
"20_中南米","02_北米東海岸","0"
"01_北米西海岸","03_ハワイ","38"
"02_北米東海岸","03_ハワイ","0"
"03_ハワイ","03_ハワイ","0"
"04_グアム・サイパン","03_ハワイ","4965"
"05_香港・マカオ","03_ハワイ","6099"
"06_台湾","03_ハワイ","12484"
"07_韓国","03_ハワイ","15425"
"08_中国","03_ハワイ","12279"
"09_マレーシア","03_ハワイ","0"
"10_シンガポール","03_ハワイ","9158"
"11_タイ","03_ハワイ","9105"
"12_ベトナム","03_ハワイ","1663"
"13_インドネシア","03_ハワイ","2942"
"14_フィリピン","03_ハワイ","4472"
"15_西南アジア","03_ハワイ","10206"
"16_中近東","03_ハワイ","38"
"17_オセアニア","03_ハワイ","0"
"18_ヨーロッパ","03_ハワイ","0"
"19_アフリカ","03_ハワイ","0"
"20_中南米","03_ハワイ","0"
"01_北米西海岸","04_グアム・サイパン","9410"
"02_北米東海岸","04_グアム・サイパン","20917"
"03_ハワイ","04_グアム・サイパン","895"
"04_グアム・サイパン","04_グアム・サイパン","1068"
"05_香港・マカオ","04_グアム・サイパン","97"
"06_台湾","04_グアム・サイパン","0"
"07_韓国","04_グアム・サイパン","2172"
"08_中国","04_グアム・サイパン","321"
"09_マレーシア","04_グアム・サイパン","421"
"10_シンガポール","04_グアム・サイパン","1096"
"11_タイ","04_グアム・サイパン","1202"
"12_ベトナム","04_グアム・サイパン","169"
"13_インドネシア","04_グアム・サイパン","0"
"14_フィリピン","04_グアム・サイパン","1382"
"15_西南アジア","04_グアム・サイパン","0"
"16_中近東","04_グアム・サイパン","899"
"17_オセアニア","04_グアム・サイパン","388"
"18_ヨーロッパ","04_グアム・サイパン","996"
"19_アフリカ","04_グアム・サイパン","0"
"20_中南米","04_グアム・サイパン","0"
"01_北米西海岸","05_香港・マカオ","18422"
"02_北米東海岸","05_香港・マカオ","35152"
"03_ハワイ","05_香港・マカオ","3795"
"04_グアム・サイパン","05_香港・マカオ","0"
"05_香港・マカオ","05_香港・マカオ","0"
"06_台湾","05_香港・マカオ","0"
"07_韓国","05_香港・マカオ","0"
"08_中国","05_香港・マカオ","0"
"09_マレーシア","05_香港・マカオ","0"
"10_シンガポール","05_香港・マカオ","0"
"11_タイ","05_香港・マカオ","0"
"12_ベトナム","05_香港・マカオ","0"
"13_インドネシア","05_香港・マカオ","0"
"14_フィリピン","05_香港・マカオ","20"
"15_西南アジア","05_香港・マカオ","0"
"16_中近東","05_香港・マカオ","0"
"17_オセアニア","05_香港・マカオ","838"
"18_ヨーロッパ","05_香港・マカオ","3732"
"19_アフリカ","05_香港・マカオ","948"
"20_中南米","05_香港・マカオ","0"
"01_北米西海岸","06_台湾","45983"
"02_北米東海岸","06_台湾","151320"
"03_ハワイ","06_台湾","7512"
"04_グアム・サイパン","06_台湾","0"
"05_香港・マカオ","06_台湾","1462"
"06_台湾","06_台湾","0"
"07_韓国","06_台湾","0"
"08_中国","06_台湾","1641"
"09_マレーシア","06_台湾","0"
"10_シンガポール","06_台湾","1664"
"11_タイ","06_台湾","0"
"12_ベトナム","06_台湾","0"
"13_インドネシア","06_台湾","0"
"14_フィリピン","06_台湾","0"
"15_西南アジア","06_台湾","0"
"16_中近東","06_台湾","0"
"17_オセアニア","06_台湾","0"
"18_ヨーロッパ","06_台湾","4588"
"19_アフリカ","06_台湾","0"
"20_中南米","06_台湾","1641"
"01_北米西海岸","07_韓国","47030"
"02_北米東海岸","07_韓国","101123"
"03_ハワイ","07_韓国","9408"
"04_グアム・サイパン","07_韓国","6852"
"05_香港・マカオ","07_韓国","0"
"06_台湾","07_韓国","0"
"07_韓国","07_韓国","0"
"08_中国","07_韓国","0"
"09_マレーシア","07_韓国","0"
"10_シンガポール","07_韓国","28"
"11_タイ","07_韓国","0"
"12_ベトナム","07_韓国","0"
"13_インドネシア","07_韓国","5182"
"14_フィリピン","07_韓国","1169"
"15_西南アジア","07_韓国","1143"
"16_中近東","07_韓国","0"
"17_オセアニア","07_韓国","9770"
"18_ヨーロッパ","07_韓国","38675"
"19_アフリカ","07_韓国","0"
"20_中南米","07_韓国","2525"
"01_北米西海岸","08_中国","36805"
"02_北米東海岸","08_中国","54308"
"03_ハワイ","08_中国","29060"
"04_グアム・サイパン","08_中国","0"
"05_香港・マカオ","08_中国","0"
"06_台湾","08_中国","0"
"07_韓国","08_中国","0"
"08_中国","08_中国","0"
"09_マレーシア","08_中国","0"
"10_シンガポール","08_中国","0"
"11_タイ","08_中国","0"
"12_ベトナム","08_中国","0"
"13_インドネシア","08_中国","0"
"14_フィリピン","08_中国","0"
"15_西南アジア","08_中国","0"
"16_中近東","08_中国","0"
"17_オセアニア","08_中国","4629"
"18_ヨーロッパ","08_中国","3058"
"19_アフリカ","08_中国","0"
"20_中南米","08_中国","5613"
"01_北米西海岸","09_マレーシア","0"
"02_北米東海岸","09_マレーシア","7355"
"03_ハワイ","09_マレーシア","0"
"04_グアム・サイパン","09_マレーシア","0"
"05_香港・マカオ","09_マレーシア","0"
"06_台湾","09_マレーシア","0"
"07_韓国","09_マレーシア","0"
"08_中国","09_マレーシア","0"
"09_マレーシア","09_マレーシア","0"
"10_シンガポール","09_マレーシア","0"
"11_タイ","09_マレーシア","0"
"12_ベトナム","09_マレーシア","0"
"13_インドネシア","09_マレーシア","0"
"14_フィリピン","09_マレーシア","0"
"15_西南アジア","09_マレーシア","0"
"16_中近東","09_マレーシア","0"
"17_オセアニア","09_マレーシア","0"
"18_ヨーロッパ","09_マレーシア","0"
"19_アフリカ","09_マレーシア","0"
"20_中南米","09_マレーシア","0"
"01_北米西海岸","10_シンガポール","48938"
"02_北米東海岸","10_シンガポール","111142"
"03_ハワイ","10_シンガポール","7388"
"04_グアム・サイパン","10_シンガポール","2844"
"05_香港・マカオ","10_シンガポール","0"
"06_台湾","10_シンガポール","0"
"07_韓国","10_シンガポール","0"
"08_中国","10_シンガポール","0"
"09_マレーシア","10_シンガポール","2811"
"10_シンガポール","10_シンガポール","0"
"11_タイ","10_シンガポール","0"
"12_ベトナム","10_シンガポール","0"
"13_インドネシア","10_シンガポール","0"
"14_フィリピン","10_シンガポール","0"
"15_西南アジア","10_シンガポール","6505"
"16_中近東","10_シンガポール","0"
"17_オセアニア","10_シンガポール","0"
"18_ヨーロッパ","10_シンガポール","0"
"19_アフリカ","10_シンガポール","0"
"20_中南米","10_シンガポール","0"
"01_北米西海岸","11_タイ","39523"
"02_北米東海岸","11_タイ","108035"
"03_ハワイ","11_タイ","5753"
"04_グアム・サイパン","11_タイ","2339"
"05_香港・マカオ","11_タイ","0"
"06_台湾","11_タイ","0"
"07_韓国","11_タイ","1994"
"08_中国","11_タイ","0"
"09_マレーシア","11_タイ","0"
"10_シンガポール","11_タイ","0"
"11_タイ","11_タイ","0"
"12_ベトナム","11_タイ","0"
"13_インドネシア","11_タイ","0"
"14_フィリピン","11_タイ","0"
"15_西南アジア","11_タイ","0"
"16_中近東","11_タイ","0"
"17_オセアニア","11_タイ","1831"
"18_ヨーロッパ","11_タイ","0"
"19_アフリカ","11_タイ","0"
"20_中南米","11_タイ","0"
"01_北米西海岸","12_ベトナム","10396"
"02_北米東海岸","12_ベトナム","47436"
"03_ハワイ","12_ベトナム","0"
"04_グアム・サイパン","12_ベトナム","0"
"05_香港・マカオ","12_ベトナム","0"
"06_台湾","12_ベトナム","1798"
"07_韓国","12_ベトナム","0"
"08_中国","12_ベトナム","0"
"09_マレーシア","12_ベトナム","0"
"10_シンガポール","12_ベトナム","0"
"11_タイ","12_ベトナム","1798"
"12_ベトナム","12_ベトナム","0"
"13_インドネシア","12_ベトナム","0"
"14_フィリピン","12_ベトナム","0"
"15_西南アジア","12_ベトナム","0"
"16_中近東","12_ベトナム","0"
"17_オセアニア","12_ベトナム","48"
"18_ヨーロッパ","12_ベトナム","0"
"19_アフリカ","12_ベトナム","0"
"20_中南米","12_ベトナム","0"
"01_北米西海岸","13_インドネシア","2811"
"02_北米東海岸","13_インドネシア","3826"
"03_ハワイ","13_インドネシア","0"
"04_グアム・サイパン","13_インドネシア","285"
"05_香港・マカオ","13_インドネシア","0"
"06_台湾","13_インドネシア","0"
"07_韓国","13_インドネシア","0"
"08_中国","13_インドネシア","0"
"09_マレーシア","13_インドネシア","0"
"10_シンガポール","13_インドネシア","0"
"11_タイ","13_インドネシア","0"
"12_ベトナム","13_インドネシア","0"
"13_インドネシア","13_インドネシア","0"
"14_フィリピン","13_インドネシア","0"
"15_西南アジア","13_インドネシア","0"
"16_中近東","13_インドネシア","0"
"17_オセアニア","13_インドネシア","0"
"18_ヨーロッパ","13_インドネシア","0"
"19_アフリカ","13_インドネシア","0"
"20_中南米","13_インドネシア","0"
"01_北米西海岸","14_フィリピン","42012"
"02_北米東海岸","14_フィリピン","228267"
"03_ハワイ","14_フィリピン","3378"
"04_グアム・サイパン","14_フィリピン","0"
"05_香港・マカオ","14_フィリピン","0"
"06_台湾","14_フィリピン","0"
"07_韓国","14_フィリピン","0"
"08_中国","14_フィリピン","0"
"09_マレーシア","14_フィリピン","0"
"10_シンガポール","14_フィリピン","0"
"11_タイ","14_フィリピン","0"
"12_ベトナム","14_フィリピン","0"
"13_インドネシア","14_フィリピン","0"
"14_フィリピン","14_フィリピン","0"
"15_西南アジア","14_フィリピン","0"
"16_中近東","14_フィリピン","0"
"17_オセアニア","14_フィリピン","0"
"18_ヨーロッパ","14_フィリピン","0"
"19_アフリカ","14_フィリピン","0"
"20_中南米","14_フィリピン","2811"
"01_北米西海岸","15_西南アジア","2209"
"02_北米東海岸","15_西南アジア","3726"
"03_ハワイ","15_西南アジア","0"
"04_グアム・サイパン","15_西南アジア","0"
"05_香港・マカオ","15_西南アジア","0"
"06_台湾","15_西南アジア","0"
"07_韓国","15_西南アジア","0"
"08_中国","15_西南アジア","0"
"09_マレーシア","15_西南アジア","0"
"10_シンガポール","15_西南アジア","0"
"11_タイ","15_西南アジア","0"
"12_ベトナム","15_西南アジア","0"
"13_インドネシア","15_西南アジア","0"
"14_フィリピン","15_西南アジア","0"
"15_西南アジア","15_西南アジア","0"
"16_中近東","15_西南アジア","0"
"17_オセアニア","15_西南アジア","0"
"18_ヨーロッパ","15_西南アジア","0"
"19_アフリカ","15_西南アジア","0"
"20_中南米","15_西南アジア","0"
"01_北米西海岸","16_中近東","0"
"02_北米東海岸","16_中近東","0"
"03_ハワイ","16_中近東","0"
"04_グアム・サイパン","16_中近東","0"
