"name","region","type","1800","1801","1802","1803","1804","1805","1806","1807","1808","1809","1810","1811","1812","1813","1814","1815","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"South Africa","Sub-Saharan Africa","lifeExpectancy","33.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","43.55","43.94","44.69","45.4","46.06","46.66","47.22","47.74","48.21","48.64","49.05","49.44","49.82","50.19","50.57","50.96","51.35","51.73","52.1","52.47","52.82","53.17","53.51","53.85","54.2","54.56","54.94","55.36","55.81","56.28","56.79","57.33","57.89","58.45","58.99","59.51","60.01","60.46","60.85","61.16","61.38","61.47","61.43","61.25","60.94","60.45","59.78","58.93","57.95","56.87","55.77","54.7","53.72","52.9","52.25","51.8","51.57","51.5","51.56","51.72"
"South Africa","Sub-Saharan Africa","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1550000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2547000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6153000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13595840","13926314","14264935","14623631","14991553","15368551","15755233","16151549","16558044","16974984","17416653","17869991","18356657","18856708","19370514","19898242","20440487","20997321","21569468","22157355","22739921","23338080","23935810","24549294","25178954","25815144","26467896","27129932","27809087","28505816","29251588","30168679","31140029","32143960","33181594","34254092","35098897","35933379","36761065","37581427","38391094","39183648","39964159","40639384","41211897","41779149","42311979","42835005","43334603","43745636","44066197","44296012","44433622","44481901","44448470","44344136","44187637","43997828","43786115","-"
"South Africa","Sub-Saharan Africa","income","759.05","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","759.05","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1569.68","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2895.87","2905.27","2693.95","2543.25","2345.4","2337.68","2239.29","2263.96","2548.17","1939.11","2172.74","2287.39","2499.68","2627.12","2677.32","2751.35","2790.42","2867.08","2847.2","2783.61","2600.07","2528.04","2873.65","3035.38","3544.11","3837.86","3817.2","3882.67","4083.14","4134.38","4285.57","4222.72","4140.07","4178.71","4349.06","4538.22","4530.29","4760.18","4766.14","4575.12","4689.81","4725.3","4827.96","5065.89","5199.29","5370.01","5487.1","5510.16","5630.54","5545.68","5582.3","5768.73","6045.12","6380.02","6625.41","6773.61","7114.48","7256.58","7441.4","7668.61","7817.81","7765.96","7943.17","8249.3","8205.63","8211.03","8028.65","8099.64","8226.73","8577.42","8826.14","8568.27","8187.6","8389.87","8067.51","7859.35","7825.82","7965.5","7976.29","7786.88","7545.41","7225.07","7160","7236.9","7304.2","7454.42","7479.19","7339.96","7333.69","7454.45","7520.72","7710.95","7863.74","8154.74","8477","8857.05","9253.18","9428.79","9141.27"
"Uganda","Sub-Saharan Africa","lifeExpectancy","25.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.3","-","-","-","-","23.9","-","-","-","-","-","-","-","-","-","26.4","-","-","-","-","-","-","-","28.8","-","-","-","-","39","39.24","39.73","40.23","40.74","41.25","41.78","42.32","42.86","43.41","43.97","44.52","45.07","45.62","46.16","46.72","47.31","47.94","48.59","49.23","49.84","50.34","50.71","50.92","50.98","50.9","50.73","50.53","50.32","50.15","50.04","49.98","49.96","49.95","49.93","49.86","49.7","49.42","49.01","48.5","47.91","47.27","46.65","46.09","45.64","45.34","45.22","45.26","45.46","45.81","46.31","46.95","47.7","48.52","49.38","50.25","51.11","51.94","52.73","53.47"
"Uganda","Sub-Saharan Africa","population","2101397","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2101397","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2843000","-","-","-","-","-","-","-","-","-","2921000","-","-","-","-","-","-","-","-","-","3554000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4959000","-","5521758","5670970","5824797","5983396","6147541","6317454","6493361","6675501","6864123","7059486","7261862","7471533","7688797","7913960","8147346","8389294","8640153","8900294","9170101","9449977","9728111","9983229","10190285","10385004","10619695","10890181","11169608","11457758","11755730","12032167","12296592","12595972","12939400","13321200","13761689","14225933","14717932","15283050","15892811","16500123","17074034","17651716","18252190","18903138","19566609","20094075","20623835","21210254","21829118","22535846","23248553","23970202","24739869","25556448","26390258","27269482","28195754","29170398","30214531","-"
"Uganda","Sub-Saharan Africa","income","461.08","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","461.08","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","712.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","759.88","710.29","734.75","746.83","716.66","743.21","763.14","774.37","757.98","774.45","788.69","758.7","767.27","830.8","868.29","861.75","888.69","908.92","904.6","974.6","960.97","964.15","950.74","927.25","908.34","867.67","852.35","843.73","777.37","675.82","638.77","647.57","682.27","711.85","630.52","622.04","603.24","617.72","636.79","658.11","661.3","646.06","644.17","674.24","693.03","755.16","799.01","816.56","830.71","865.83","881.21","896.54","927.72","937.6","959.71","991","1059.73","1108.95","1163.64","1202.53"
"India","South Asia","lifeExpectancy","25.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.44","-","-","-","-","-","-","-","-","-","24.27","-","-","-","-","-","-","-","-","-","23.49","-","-","-","23.98","-","-","-","-","-","23.15","-","-","-","24.02","-","-","-","-","-","24.86","-","-","-","27.61","-","-","-","-","-","29.31","-","-","-","30.95","-","-","-","-","-","32.59","-","-","-","35.03","-","-","-","-","36.8","37.08","37.65","38.22","38.8","39.39","39.98","40.59","41.19","41.81","42.44","43.07","43.71","44.35","45","45.65","46.3","46.94","47.57","48.19","48.82","49.47","50.14","50.83","51.54","52.24","52.92","53.55","54.13","54.65","55.11","55.51","55.88","56.22","56.55","56.86","57.16","57.44","57.7","57.95","58.2","58.45","58.72","59","59.3","59.62","59.95","60.28","60.61","60.94","61.26","61.56","61.86","62.15","62.45","62.74","63.04","63.35","63.68","64.01"
"India","South Asia","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","175349000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","212189000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","251906000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","275861000","-","-","-","-","-","-","-","-","-","-","-","321565000","-","-","-","-","340857000","346000000","350000000","355000000","359000000","365000000","372000000","379000000","386000000","393000000","401000000","409000000","418000000","426000000","434000000","444000000","454000000","464000000","474000000","485000000","495000000","506000000","518000000","529000000","541000000","554000000","567000000","580000000","593000000","607000000","620000000","634000000","648000000","664000000","679000000","692000000","708000000","723000000","739000000","755000000","771000000","788000000","805000000","822000000","839000000","856000000","872000000","891000000","908000000","927000000","943000000","959000000","975000000","991691000","1007702000","1023590000","1034172547","1049700118","1065070607","1080264388","1095351995","1110396331","1125368288","-"
"India","South Asia","income","563","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","560","561","561","562","562","563","563","564","564","565","565","566","566","567","567","583","563","587","590","572","597","540","582","595","602","585","540","637","637","585","604","612","658","662","660","643","657","613","617","696","692","686","683","666","700","682","700","686","597","678","622","665","685","655","679","680","693","685","684","704","701","687","684","674","670","653","668","647","639","643","654","658","646","663","647","629","588","583","582","588","580","583","588","613","626","629","651","631","663","664","696","700","699","717","755","707","698","739","739","771","791","779","758","774","764","812","804","845","870","806","844","877","883","933","947","963","982","1001","1081","1127","1160","1150","1186","1227","1290","1354","1433","1475","1543","1607","1648","1714","1754","1872","1981","2126","2300","2478","2622","2731"
"Algeria","Middle East & North Africa","lifeExpectancy","28.8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.82","-","-","-","-","-","-","-","-","-","31.22","-","-","-","-","-","-","-","33.72","-","33.72","-","33.72","-","-","-","-","42.02","42.29","42.82","43.34","43.87","44.38","44.9","45.41","45.92","46.43","46.96","47.49","48.04","48.62","49.21","49.82","50.44","51.06","51.68","52.31","52.93","53.57","54.21","54.88","55.56","56.24","56.93","57.61","58.28","58.95","59.63","60.35","61.13","61.96","62.82","63.69","64.53","65.3","65.97","66.54","67","67.36","67.67","67.94","68.2","68.47","68.75","69.06","69.38","69.73","70.08","70.44","70.79","71.12","71.42","71.7","71.96","72.2","72.44","72.67"
