date,temperature,sunshine_duration,wind_speed
2014/12/1,12.7,0,0.5
2014/12/2,8.8,8.5,1.8
2014/12/3,5.6,8.6,1.4
2014/12/4,5.5,0,0.7
2014/12/5,4.4,8.5,0.9
2014/12/6,1.3,8.7,0.8
2014/12/7,2.1,7.7,0.7
2014/12/8,2.9,8.2,0.7
2014/12/9,4.5,7.5,1.3
2014/12/10,2.5,6,0.7
2014/12/11,6.1,0.9,0.7
2014/12/12,5.2,0.4,0.5
2014/12/13,3,7.9,1.2
2014/12/14,0.2,8.5,0.9
2014/12/15,0.6,8,1.2
2014/12/16,2.4,0,0.9
2014/12/17,4.2,7.6,2.4
2014/12/18,2.3,8.5,2
2014/12/19,1,8.5,1.1
2014/12/20,4.7,0,0.5
2014/12/21,5.4,4,0.8
2014/12/22,4.3,8.5,1.4
2014/12/23,2.4,8.5,1
2014/12/24,1,3.3,0.6
2014/12/25,3.5,7.7,1.5
2014/12/26,1.6,8.3,1.3
2014/12/27,-0.3,8.2,0.9
2014/12/28,0.4,7.6,0.6
2014/12/29,3.5,0,0.6
2014/12/30,2.9,8.2,0.8
2014/12/31,4,8.5,0.9
