date	name	category	IPO	First day change	Three years later	Latest
1995-07-12	Doyle Inc, Inc.	Web Service	7362998035	5808024410	9141989382	13882132250
2005-03-24	Botsford-Breitenberg, Inc.	System Integrator	5378049497578	4980922767476	5893411349090	1671422951319
2005-08-04	Spencer Group, Inc.	System Integrator	28991918244	28351539735	27131038292	76585665149
1998-08-29	Mills, Dicki and Beier, Inc.	System Integrator	2784264772553	2152262412829	2826844738514	1656646425002
1984-06-29	Mertz, Durgan and Jerde, Inc.	Consumer Game	1528157763346	1139843834487	1606648562370	1490111278550
2013-02-15	Marks LLC, Inc.	Web Service	217309062045	200629428270	255435970400	792209853341
1994-01-22	Parisian-Rodriguez, Inc.	Social Game	1401820036	1552286538	1189155142	6460987419
1992-09-01	Johns-Zemlak, Inc.	Social Game	1295751901	974075950	929793569	2913745004
1982-02-12	Heller, Keeling and Wilderman, Inc.	Web Service	1526609075206	1506454371461	1628443880478	327360382185
1990-07-23	Murazik and Sons, Inc.	System Integrator	43539387895	44097390700	44853523641	29420583054
1981-06-13	Okuneva-Marks, Inc.	Social Game	26025483814	19686055437	41922493555	103415176293
2011-07-24	Jacobs-MacGyver, Inc.	System Integrator	4565488521221	5882628293972	4920628355369	1308440383474
2010-02-19	Glover, Schaefer and Kassulke, Inc.	System Integrator	255595958399	329124497607	368073898771	315837331340
1993-05-01	Collins-Grant, Inc.	Consumer Game	25408775553	18105673682	25752028996	1981655646
2011-11-04	Wisozk and Sons, Inc.	Consumer Game	2165004569903	2147117583607	2061249378553	2112460508771
1981-12-19	Keeling LLC, Inc.	Web Service	4675957098	5645326101	4960736163	21465187689
1997-10-28	Hyatt, Zboncak and Stamm, Inc.	System Integrator	5355688310	3970987524	7709961124	887280295
1986-08-27	Douglas Group, Inc.	Web Service	487365564774	537748797571	482441681162	2399685639354
1981-11-19	Krajcik, Carroll and Sipes, Inc.	Social Game	4497070716	4201915325	3809897878	16067184586
1980-08-09	Cronin-Pagac, Inc.	Social Game	4897529005	3497866763	7439699124	20773380608
1981-11-19	Watsica, Hoeger and Nader, Inc.	Social Game	29970333041	34834999262	29473745172	9542030653
1986-05-27	Krajcik, Cronin and Murray, Inc.	Social Game	1741607247	1504174763	2856571145	6121196146
1986-04-22	Rowe-Dooley, Inc.	Consumer Game	10988542753	11769275385	15814236084	25693591127
1983-10-03	Wunsch, Wuckert and Blanda, Inc.	Web Service	32650233665	32226712696	25483910764	135092356141
1994-03-30	Jacobs-Grady, Inc.	Web Service	452644720047	320275678671	611001885401	1097644503998
2014-04-07	Jacobs and Sons, Inc.	System Integrator	1739789352	1909245796	1894562561	1587514021
2013-05-02	DuBuque, Larson and Lebsack, Inc.	Social Game	282042639226	221931170585	308992037868	641348761750
2000-12-06	Treutel-Farrell, Inc.	Consumer Game	67522231079	62680397029	84112249855	108495551988
1993-08-23	Grimes, Beer and Gaylord, Inc.	Web Service	1851504869264	2040389700846	1751084651276	895898259534
2006-02-15	Johns, Tromp and Morissette, Inc.	Consumer Game	37110602623	43797614170	26334265894	80985029789
2003-11-20	Kozey, McLaughlin and Skiles, Inc.	Consumer Game	3730174260859	3308995832454	4109914138124	2015152533504
1980-09-27	Kautzer and Sons, Inc.	Consumer Game	25264370325	27717732787	22380212822	105372787544
1991-02-23	Bruen, McKenzie and Maggio, Inc.	Social Game	158698315953	113858312944	160655573522	762574950973
2012-10-16	Huel Inc, Inc.	System Integrator	39460175239	39463248455	46686664295	50778970434
1999-05-18	Hoeger-Rogahn, Inc.	System Integrator	1141475789	1034235619	1906411162	5408197315
1994-10-02	Abshire-Volkman, Inc.	Social Game	1037410430700	1053462118941	1068851502455	1168254246547
2001-01-27	Weber-Mertz, Inc.	Web Service	1096272049953	939496636640	1199110506286	872690496671
1990-06-04	Reichert and Sons, Inc.	Consumer Game	168413105265	210060843963	197423449622	690879568522
2006-01-17	Terry LLC, Inc.	Web Service	1027748409	1221668428	1647074773	525130818
2012-10-22	Green-Stoltenberg, Inc.	System Integrator	970195649538	1095313714997	1233053034969	1520524436159
2002-09-02	Rutherford, Hayes and Gaylord, Inc.	Social Game	108401250447	140443761489	174154350771	491515047226
1998-03-17	Heathcote Inc, Inc.	Social Game	822768798966	652019579369	1200956655101	1191369088658
2002-04-16	Schneider, Kiehn and Balistreri, Inc.	System Integrator	2912699723713	3433296728977	2986665552617	2569357028488
1983-02-06	Greenholt LLC, Inc.	System Integrator	198377719848	163018713343	140055477706	551687294919
1990-03-25	Waelchi Inc, Inc.	Consumer Game	181121828728	209227985049	205933690140	159860792633
2003-02-19	Raynor, Leuschke and Johnson, Inc.	Social Game	1182408778	1400997025	1399696615	40200942
2007-05-14	Hahn-Schuster, Inc.	Consumer Game	56375581464	39832809121	44425290241	27763644851
2014-03-02	Lesch and Sons, Inc.	Web Service	3157407621397	3426385377288	3024616317462	2886220773830
1988-02-12	Zulauf-Batz, Inc.	System Integrator	12013256806	9013802057	19728495227	15312225284
1997-09-21	Denesik-Rempel, Inc.	Web Service	6430193442	5646278567	6657143056	2033145782
1989-07-07	Schoen Group, Inc.	Social Game	3014101295	2450040790	3306476421	12471607686
1980-02-17	Runolfsson-Gorczany, Inc.	Social Game	7955557140	6497824943	6628796613	13998406339
2004-02-27	Christiansen-Barrows, Inc.	System Integrator	34130626496	37981975870	34759942020	109254211732
1989-12-19	Moen and Sons, Inc.	Consumer Game	237888037073	293213244838	301205250060	454022316230
2007-02-02	Beahan LLC, Inc.	Social Game	27404638727	30561379012	30751106789	133156996825
2000-09-12	Schaefer-Yost, Inc.	System Integrator	252673229842	313323699353	241009266937	528440931440
2001-07-13	Nolan-Jacobs, Inc.	Social Game	21312233292	17584657807	16650863498	30445857697
1998-09-15	Johnson LLC, Inc.	Consumer Game	88626575441	96686990389	100301304201	258351080694
1999-05-08	Veum and Sons, Inc.	Consumer Game	2891603912937	3582601900161	2766521046304	727093691435
1987-03-22	Kling, Keeling and Reichert, Inc.	Consumer Game	1630513944	2087303198	1839316699	654001879
2014-10-08	Feest-Lockman, Inc.	System Integrator	1958450262	2136750449	3245523780	5156041767
1990-07-24	Ledner LLC, Inc.	Web Service	130417784294	116922307077	175119014517	135051558126
2010-11-29	Medhurst, Bogan and Flatley, Inc.	System Integrator	123469113361	95070463560	203260343038	354417548746
2001-11-27	Ondricka-Waelchi, Inc.	Consumer Game	72205143045	51807116225	116905939860	324930411821
1981-08-18	Johns-Doyle, Inc.	Consumer Game	1237965530615	1323086310160	1334910296461	1441895685847
2008-11-16	Kertzmann, Cole and Bergstrom, Inc.	System Integrator	344882714283	302362874642	396416838369	286221345853
1989-05-19	Pagac, Howell and Corwin, Inc.	Consumer Game	238698275625	251863960356	310725737119	1050624406611
1989-05-12	Turcotte and Sons, Inc.	Web Service	39205380843	30805724533	29004118799	191060680980
2013-10-09	Hand, Nicolas and King, Inc.	Consumer Game	367204469655	399154337566	437416908727	1390875861885
2006-01-14	Stamm LLC, Inc.	System Integrator	782116019812	845338669185	893204074326	2336483879748
2013-04-18	Hegmann, Pollich and Beahan, Inc.	Consumer Game	8829185958	6646129391	8388730666	36433335220
2001-06-30	Rosenbaum, Dooley and Lang, Inc.	Web Service	17495664549	17707227787	17673815827	28931825913
2002-10-07	Murphy, Muller and McKenzie, Inc.	Social Game	3089783926917	3036010420976	3379046366188	1232799032150
1994-02-21	Konopelski-Wiza, Inc.	Social Game	16932884008	12656869920	13275664456	81116887787
2013-11-28	Hahn-Russel, Inc.	Consumer Game	92848719460	93116996960	93461658517	433155971109
1988-12-11	Boyle, Grant and Fisher, Inc.	Consumer Game	1508248804754	1791238059037	1441967738436	886732474119
2004-09-21	Runolfsson-Orn, Inc.	Social Game	4862536772	3523888672	4099985087	3547883562
2004-08-29	Reichert-Sipes, Inc.	Web Service	1806445927	1387150701	2368558926	798248182
1987-04-04	McClure-Klocko, Inc.	System Integrator	5046908537	4483064955	3700522475	503662930
1991-09-05	Bode, Maggio and Hodkiewicz, Inc.	Web Service	15592502364	14594484240	21675072907	8686908194
1994-05-14	Yost and Sons, Inc.	Consumer Game	110068105562	91808807746	77412595896	234931513918
2005-04-12	Cruickshank Group, Inc.	Web Service	2673579981	2984399067	2922381875	3250868275
1997-08-18	Smith and Sons, Inc.	System Integrator	171322962547	182730680548	223380857255	416163765231
2008-02-04	Abshire Group, Inc.	Consumer Game	5625932098	4435490483	4244794593	25714643863
1996-06-15	Veum-Romaguera, Inc.	Consumer Game	102113276972	88729190584	150195820723	17500438123
2003-04-30	Shanahan-Stokes, Inc.	System Integrator	13286224145	15776894943	11522249730	3753834417
2009-04-06	Carter, Emard and Schneider, Inc.	System Integrator	347048076391	354279179852	552045620775	74335211899
1993-01-28	Weimann Group, Inc.	Consumer Game	241967371431	298803043580	248505017927	164750642108
1982-10-11	Smitham-Jacobi, Inc.	Web Service	1453268236583	1178287516558	1599189363850	1161951581012
2014-01-15	Rice, Quitzon and Nicolas, Inc.	Social Game	6471526448057	6389258219093	6327474194565	2524951686765
2014-10-12	Brown-Shanahan, Inc.	System Integrator	1568982284566	1319078705631	1602612748982	591341238100
1989-07-24	O'Hara, Ferry and Kozey, Inc.	System Integrator	196652334144	199133702082	146459256692	744033838985
1982-08-26	Herzog, Sipes and McDermott, Inc.	Consumer Game	1219444409866	1561677699558	1211910784026	987994258724
1981-12-24	Doyle, Smith and Lubowitz, Inc.	Web Service	6404351410963	7506983293202	6449511163771	7329221586753
1993-01-13	Mann-Marvin, Inc.	Social Game	81416784593	72231421983	128491909336	274386020701
1991-03-11	Rosenbaum, O'Kon and Rau, Inc.	System Integrator	1018259303541	757529004226	1106819901078	842803039032
2015-02-09	Simonis LLC, Inc.	Consumer Game	1363734978207	983693240133	1494961966839	752557967034
2010-04-15	Cruickshank-Oberbrunner, Inc.	Web Service	1066831728435	1129953940481	1125715677737	743074057655
1984-02-18	Abshire and Sons, Inc.	System Integrator	956069007527	712317857635	843602716381	3321145735554
1981-10-22	Walter, McCullough and Abernathy, Inc.	Social Game	7149456600	8126944233	5483847953	13724615395
1987-12-22	Barrows-Kunde, Inc.	System Integrator	43576024491	41508245994	45206822727	9557560395
1985-08-19	Morar-Erdman, Inc.	Web Service	6019561722	5166501256	7798014947	2061679302
1996-12-25	Deckow, Gulgowski and Kessler, Inc.	Consumer Game	9585099120	9563806053	10429176446	20004025107
1995-03-21	Abernathy-Littel, Inc.	Consumer Game	28487014936	22088082687	45453851628	89403764366
2007-02-05	Franecki-Cole, Inc.	System Integrator	1643295777587	1810439595034	1593437587345	1869569803870
1994-02-08	Gutmann-Yost, Inc.	System Integrator	1559214082	1501313430	2212547948	6579860760
2015-02-15	Mosciski, Ernser and Ledner, Inc.	Consumer Game	3960005513979	3106189051792	4234598238547	1208885197227
2008-06-21	Smitham, Sauer and Jenkins, Inc.	System Integrator	126369561661	93534596877	137451119660	387547348337
1992-09-15	Gutmann LLC, Inc.	System Integrator	80741249304	92239930715	61607011807	153999075859
1983-01-17	Lesch, Ernser and Watsica, Inc.	Consumer Game	16508307249	19340847710	26081945661	76717786646
1983-06-04	Stanton, Daugherty and Hettinger, Inc.	Consumer Game	63575387296	58257539661	77651259426	286786501362
1988-01-10	Sipes LLC, Inc.	Web Service	1779329463897	1475011860922	1921982643707	883056351655
2012-08-14	Trantow, O'Connell and DuBuque, Inc.	Social Game	211325920350	184035363474	243382669143	13021681532
1983-02-06	Feest, Herman and Effertz, Inc.	Web Service	1141668506597	1192524705427	1117645581913	264345111413
1993-04-07	Zulauf, D'Amore and Roob, Inc.	System Integrator	278593533030	252095326097	246441462681	695510009381
