年月	平均気温(℃)	降水量の合計(mm)	平均湿度(％)	日照時間(時間)	日最高気温の平均(℃)	日最低気温の平均(℃)
1876-01-01	1.6	114.8	78		6.6	-2.8
1876-02-01	3.4	115.9	73		8.2	-1.4
1876-03-01	8.1	141.1	72		13.6	2.2
1876-04-01	12.2	121.6	76		17.5	6.5
1876-05-01	17	152.5	79		21.7	11.7
1876-06-01	18.5	276	85		22.8	13.7
1876-07-01	24.3	150	87		28.6	19.4
1876-08-01	26.6	65.2	80		31.6	21
1876-09-01	22.6	357.9	86		26.8	18.4
1876-10-01	14.8	157.4	81		20.4	9.3
1876-11-01	9.1	38	72		15.8	2.8
1876-12-01	4.8	65.1	72		11	-0.7
1877-01-01	3.2	46.5	68		8.8	-2.1
1877-02-01	3.6	59.2	68		8.8	-1.7
1877-03-01	6.2	124.7	72		11.3	0.3
1877-04-01	13.6	26.7	73		19.1	7.1
1877-05-01	16.5	118.1	82		21.5	11.1
1877-06-01	22	113.8	81		26	17.3
1877-07-01	26.5	83.3	80		31	21.5
1877-08-01	25.9	52.1	80		30.5	21.1
1877-09-01	21.3	273.9	84		25.8	16.5
1877-10-01	15.9	204.5	78		21.3	9.8
1877-11-01	9.6	69	76		14.4	4.4
1877-12-01	5.8	145.5	78		10.2	1.8
1878-01-01	2.3	94.5	74		7.2	-1.6
1878-02-01	2.5	93	73		7.1	-1.8
1878-03-01	7.2	60.2	64		12.9	1.7
1878-04-01	11.5	84.8	80		16.2	7.1
1878-05-01	18.3	188	78		22.7	13.2
1878-06-01	20	205.1	83		24.1	15.8
1878-07-01	26	85.4	81		29.8	22.3
1878-08-01	24.6	152	85		28.5	21.2
1878-09-01	22.8	460.9	88		26.3	19.4
1878-10-01	15.8	132.7	84		20.2	11.6
1878-11-01	9.7	198.6	83		14.1	5.9
1878-12-01	5.1	9	71		10.9	0
1879-01-01	3.2	76.3	70		9	-1.4
1879-02-01	5.4	109.6	72		10.9	0.5
1879-03-01	8	99.8	73		13	2.9
1879-04-01	12.6	141.2	77		17.1	7
1879-05-01	18	191.3	83		21.9	14.1
1879-06-01	21.4	206.9	85		25.2	18
1879-07-01	26.1	80	78		30.4	22.3
1879-08-01	26.6	73.3	80		31.1	22.5
1879-09-01	21.3	158	82		25.4	17.2
1879-10-01	15	208.3	80		19.4	10.8
1879-11-01	9.7	48.9	74		15.7	3.9
1879-12-01	8	99.1	73		14	2.5
1880-01-01	2.6	20.2	63		8.8	-2.4
1880-02-01	5.8	163.2	74		10.1	1.6
1880-03-01	8.4	186.5	73		13.8	2.7
1880-04-01	12.3	153.8	76		16.7	7
1880-05-01	17.7	170.7	78		22.6	11.9
1880-06-01	19.8	181.5	83		23.9	15.7
1880-07-01	24.2	253.5	85		28	20.8
1880-08-01	25.5	181.4	83		29.5	21.4
1880-09-01	22.5	91.5	81		27	18
1880-10-01	16.6	222.9	81		21.6	12.1
1880-11-01	10.2	60.3	77		16.8	3.3
1880-12-01	3.9	0.2	62		11.1	-2.9
