0,1,2,3,4
b,d,c,c,c
a,a,b,b,b
b,b,d,d,c
c,c,,c,c
a,a,a,a,a
b,b,b,b,
b,,d,d,
b,b,b,b,b
c,c,c,c,c
c,c,c,c,c
c,c,c,d,d
a,a,a,a,a
d,,,,
a,a,a,a,a
a,b,b,b,b
b,b,d,d,d
b,b,b,c,c
d,d,d,d,d
a,a,a,d,b
,b,b,b,b
a,a,a,a,
b,b,,c,c
a,a,a,d,d
a,b,b,b,b
b,b,,,c
a,a,a,a,a
a,a,a,a,a
c,b,b,b,b
,,a,a,a
b,b,d,d,d
,,,,
a,d,d,d,d
d,d,d,a,a
,,,,
d,d,d,d,d
b,b,b,b,b
a,a,a,,
,c,c,c,c
,,,a,a
a,a,d,d,d
a,a,a,a,a
b,b,b,b,b
b,,,,
d,d,d,b,b
b,b,,,
b,b,b,d,d
,,b,d,
c,c,c,c,c
a,a,a,a,a
d,d,d,,c
a,,a,a,a
c,d,a,a,a
c,c,d,d,d
c,c,c,b,b
,,,b,c
d,d,b,d,d
a,,,,
b,b,b,b,b
c,c,b,b,b
,d,,a,a
d,d,c,c,c
c,b,b,b,b
c,,,,
b,b,b,b,b
b,b,b,b,b
b,b,b,,
c,c,c,c,c
c,c,,d,c
b,d,d,d,d
b,b,b,a,a
c,c,d,d,
a,a,a,,
c,c,c,c,c
a,a,a,a,a
b,b,a,a,d
a,a,a,a,b
d,d,d,d,d
c,,,,c
d,d,d,d,d
,,a,a,a
d,d,d,d,
,c,b,a,a
d,d,d,d,d
b,c,c,b,b
c,c,c,d,d
,,d,d,d
d,d,d,d,d
d,c,c,c,c
c,,,,
,a,a,a,a
b,b,b,d,d
b,,,c,c
a,c,c,,
,a,a,a,b
a,a,a,a,
b,c,d,c,c
b,b,,d,b
a,b,b,b,b
b,b,a,a,a
,,d,d,d
d,d,,,
c,c,c,,
,a,d,d,d
,,,c,c
b,b,,b,b
c,c,c,c,c
d,d,d,b,c
c,c,c,c,c
c,c,c,c,c
b,b,b,b,b
a,d,d,a,a
,,,,
,,b,b,d
b,b,,c,c
,,,d,d
b,b,a,a,a
c,c,a,d,d
d,d,b,b,d
b,d,d,d,d
d,d,d,a,a
b,,c,d,d
d,d,d,d,d
c,,,,
d,d,d,d,c
d,d,b,b,b
d,d,a,a,a
a,c,c,c,c
d,d,b,b,b
d,c,c,d,b
b,,,,
,,c,c,a
b,b,b,b,
b,c,c,c,c
,,,,
a,a,a,c,c
,,,b,
b,c,c,c,c
a,a,a,a,a
d,a,a,a,c
c,c,c,c,d
,,b,b,d
a,a,a,a,a
d,d,d,d,d
a,a,a,a,a
a,d,d,,
,,,,
d,c,c,c,c
c,b,,,
d,c,b,a,c
c,c,c,c,b
c,b,b,d,c
c,b,,,
,,,,
,,,,b
c,a,,c,c
,b,b,b,c
c,c,c,c,c
,,a,a,a
b,b,b,b,b
,d,d,d,d
b,b,b,b,b
b,b,a,a,a
d,d,a,a,a
c,c,c,c,c
,,,,
a,a,a,a,b
c,c,c,a,
d,a,a,a,a
b,b,d,d,d
a,a,a,d,d
a,a,a,b,b
b,,a,a,a
d,b,b,b,c
a,a,a,,a
c,c,a,a,a
b,c,c,a,a
,d,d,,
,a,a,a,a
d,d,d,d,d
a,a,a,,
c,c,c,c,c
,,,,
,a,a,a,d
a,a,a,a,a
a,b,b,b,b
d,d,b,,
,c,c,c,c
,,,a,a
a,a,a,c,c
b,b,b,b,b
d,d,a,b,b
b,b,b,b,c
d,c,c,,
a,a,a,a,a
c,c,c,c,c
c,c,c,c,a
c,c,c,c,c
a,a,a,c,c
,c,d,d,a
b,b,b,b,b
