市町,結核/実数,食中毒/実数,結核/人口１０万対,食中毒/人口１０万対
区,世帯数,人口総数,女,男
松山市,59,120,11.4,23.2
今治市,20,-,12.2,-
宇和島市,17,7,20.8,8.6
八幡浜市,8,12,21.5,32.3
新居浜市,17,46,14.1,38.1
西条市,12,20,10.8,18.0
大洲市,3,-,6.5,-
伊予市,4,-,10.7,-
四国中央市,14,-,15.7,-
西予市,6,49,14.7,119.6
東温市,6,-,17.2,-
上島町,1,-,13.5,-
久万高原町,3,27,32.4,291.6
松前町,2,30,6.6,99.6
砥部町,2,-,9.2,-
内子町,3,-,17.2,-
伊方町,1,-,9.7,-
松野町,1,-,23.4,-
鬼北町,4,-,35.4,-
愛南町,6,1,25.9,4.3
宇摩,14,-,15.7,-
新居浜西条,29,66,12.5,28.4
今治,21,-,12.3,-
松山,76,177,11.7,27.2
八幡浜大洲,21,61,13.8,40.2
宇和島,28,8,23.2,6.6
