ID	GROUP	SOURCE	TARGET	VALUE
Myriel	1	Napoleon	Myriel	1
Napoleon	1	Mlle.Baptistine	Myriel	8
Mlle.Baptistine	1	Mme.Magloire	Myriel	10
Mme.Magloire	1	Mme.Magloire	Mlle.Baptistine	6
CountessdeLo	1	CountessdeLo	Myriel	1
Geborand	1	Geborand	Myriel	1
Champtercier	1	Champtercier	Myriel	1
Cravatte	1	Cravatte	Myriel	1
Count	1	Count	Myriel	2
OldMan	1	OldMan	Myriel	1
Labarre	2	Valjean	Labarre	1
Valjean	2	Valjean	Mme.Magloire	3
Marguerite	3	Valjean	Mlle.Baptistine	3
Mme.deR	2	Valjean	Myriel	5
Isabeau	2	Marguerite	Valjean	1
Gervais	2	Mme.deR	Valjean	1
Tholomyes	3	Isabeau	Valjean	1
Listolier	3	Gervais	Valjean	1
Fameuil	3	Listolier	Tholomyes	4
Blacheville	3	Fameuil	Tholomyes	4
Favourite	3	Fameuil	Listolier	4
Dahlia	3	Blacheville	Tholomyes	4
Zephine	3	Blacheville	Listolier	4
Fantine	3	Blacheville	Fameuil	4
Mme.Thenardier	4	Favourite	Tholomyes	3
Thenardier	4	Favourite	Listolier	3
Cosette	5	Favourite	Fameuil	3
Javert	4	Favourite	Blacheville	4
Fauchelevent	0	Dahlia	Tholomyes	3
Bamatabois	2	Dahlia	Listolier	3
Perpetue	3	Dahlia	Fameuil	3
Simplice	2	Dahlia	Blacheville	3
Scaufflaire	2	Dahlia	Favourite	5
Woman1	2	Zephine	Tholomyes	3
Judge	2	Zephine	Listolier	3
Champmathieu	2	Zephine	Fameuil	3
Brevet	2	Zephine	Blacheville	3
Chenildieu	2	Zephine	Favourite	4
Cochepaille	2	Zephine	Dahlia	4
Pontmercy	4	Fantine	Tholomyes	3
Boulatruelle	6	Fantine	Listolier	3
Eponine	4	Fantine	Fameuil	3
Anzelma	4	Fantine	Blacheville	3
Woman2	5	Fantine	Favourite	4
MotherInnocent	0	Fantine	Dahlia	4
Gribier	0	Fantine	Zephine	4
Jondrette	7	Fantine	Marguerite	2
Mme.Burgon	7	Fantine	Valjean	9
Gavroche	8	Mme.Thenardier	Fantine	2
Gillenormand	5	Mme.Thenardier	Valjean	7
Magnon	5	Thenardier	Mme.Thenardier	13
Mlle.Gillenormand	5	Thenardier	Fantine	1
Mme.Pontmercy	5	Thenardier	Valjean	12
Mlle.Vaubois	5	Cosette	Mme.Thenardier	4
Lt.Gillenormand	5	Cosette	Valjean	31
Marius	8	Cosette	Tholomyes	1
BaronessT	5	Cosette	Thenardier	1
Mabeuf	8	Javert	Valjean	17
Enjolras	8	Javert	Fantine	5
Combeferre	8	Javert	Thenardier	5
Prouvaire	8	Javert	Mme.Thenardier	1
Feuilly	8	Javert	Cosette	1
Courfeyrac	8	Fauchelevent	Valjean	8
Bahorel	8	Fauchelevent	Javert	1
Bossuet	8	Bamatabois	Fantine	1
Joly	8	Bamatabois	Javert	1
Grantaire	8	Bamatabois	Valjean	2
MotherPlutarch	9	Perpetue	Fantine	1
Gueulemer	4	Simplice	Perpetue	2
Babet	4	Simplice	Valjean	3
Claquesous	4	Simplice	Fantine	2
Montparnasse	4	Simplice	Javert	1
Toussaint	5	Scaufflaire	Valjean	1
Child1	10	Woman1	Valjean	2
Child2	10	Woman1	Javert	1
Brujon	4	Judge	Valjean	3
Mme.Hucheloup	8	Judge	Bamatabois	2
		Champmathieu	Valjean	3
		Champmathieu	Judge	3
		Champmathieu	Bamatabois	2
		Brevet	Judge	2
		Brevet	Champmathieu	2
		Brevet	Valjean	2
		Brevet	Bamatabois	1
		Chenildieu	Judge	2
		Chenildieu	Champmathieu	2
		Chenildieu	Brevet	2
		Chenildieu	Valjean	2
		Chenildieu	Bamatabois	1
		Cochepaille	Judge	2
		Cochepaille	Champmathieu	2
		Cochepaille	Brevet	2
		Cochepaille	Chenildieu	2
		Cochepaille	Valjean	2
		Cochepaille	Bamatabois	1
		Pontmercy	Thenardier	1
		Boulatruelle	Thenardier	1
		Eponine	Mme.Thenardier	2
		Eponine	Thenardier	3
		Anzelma	Eponine	2
		Anzelma	Thenardier	2
		Anzelma	Mme.Thenardier	1
		Woman2	Valjean	3
		Woman2	Cosette	1
		Woman2	Javert	1
		MotherInnocent	Fauchelevent	3
		MotherInnocent	Valjean	1
		Gribier	Fauchelevent	2
		Mme.Burgon	Jondrette	1
		Gavroche	Mme.Burgon	2
		Gavroche	Thenardier	1
		Gavroche	Javert	1
		Gavroche	Valjean	1
		Gillenormand	Cosette	3
		Gillenormand	Valjean	2
		Magnon	Gillenormand	1
		Magnon	Mme.Thenardier	1
		Mlle.Gillenormand	Gillenormand	9
		Mlle.Gillenormand	Cosette	2
		Mlle.Gillenormand	Valjean	2
		Mme.Pontmercy	Mlle.Gillenormand	1
		Mme.Pontmercy	Pontmercy	1
		Mlle.Vaubois	Mlle.Gillenormand	1
		Lt.Gillenormand	Mlle.Gillenormand	2
		Lt.Gillenormand	Gillenormand	1
		Lt.Gillenormand	Cosette	1
		Marius	Mlle.Gillenormand	6
		Marius	Gillenormand	12
		Marius	Pontmercy	1
		Marius	Lt.Gillenormand	1
		Marius	Cosette	21
		Marius	Valjean	19
		Marius	Tholomyes	1
		Marius	Thenardier	2
		Marius	Eponine	5
		Marius	Gavroche	4
		BaronessT	Gillenormand	1
		BaronessT	Marius	1
		Mabeuf	Marius	1
		Mabeuf	Eponine	1
		Mabeuf	Gavroche	1
		Enjolras	Marius	7
		Enjolras	Gavroche	7
		Enjolras	Javert	6
		Enjolras	Mabeuf	1
		Enjolras	Valjean	4
		Combeferre	Enjolras	15
		Combeferre	Marius	5
		Combeferre	Gavroche	6
		Combeferre	Mabeuf	2
		Prouvaire	Gavroche	1
		Prouvaire	Enjolras	4
		Prouvaire	Combeferre	2
		Feuilly	Gavroche	2
		Feuilly	Enjolras	6
		Feuilly	Prouvaire	2
		Feuilly	Combeferre	5
		Feuilly	Mabeuf	1
		Feuilly	Marius	1
		Courfeyrac	Marius	9
		Courfeyrac	Enjolras	17
		Courfeyrac	Combeferre	13
		Courfeyrac	Gavroche	7
		Courfeyrac	Mabeuf	2
		Courfeyrac	Eponine	1
		Courfeyrac	Feuilly	6
		Courfeyrac	Prouvaire	3
		Bahorel	Combeferre	5
		Bahorel	Gavroche	5
		Bahorel	Courfeyrac	6
		Bahorel	Mabeuf	2
		Bahorel	Enjolras	4
		Bahorel	Feuilly	3
		Bahorel	Prouvaire	2
		Bahorel	Marius	1
		Bossuet	Marius	5
		Bossuet	Courfeyrac	12
		Bossuet	Gavroche	5
		Bossuet	Bahorel	4
		Bossuet	Enjolras	10
		Bossuet	Feuilly	6
		Bossuet	Prouvaire	2
		Bossuet	Combeferre	9
		Bossuet	Mabeuf	1
		Bossuet	Valjean	1
		Joly	Bahorel	5
		Joly	Bossuet	7
		Joly	Gavroche	3
		Joly	Courfeyrac	5
		Joly	Enjolras	5
		Joly	Feuilly	5
		Joly	Prouvaire	2
		Joly	Combeferre	5
		Joly	Mabeuf	1
		Joly	Marius	2
		Grantaire	Bossuet	3
		Grantaire	Enjolras	3
		Grantaire	Combeferre	1
		Grantaire	Courfeyrac	2
		Grantaire	Joly	2
		Grantaire	Gavroche	1
		Grantaire	Bahorel	1
		Grantaire	Feuilly	1
		Grantaire	Prouvaire	1
		MotherPlutarch	Mabeuf	3
		Gueulemer	Thenardier	5
		Gueulemer	Valjean	1
		Gueulemer	Mme.Thenardier	1
		Gueulemer	Javert	1
		Gueulemer	Gavroche	1
		Gueulemer	Eponine	1
		Babet	Thenardier	6
		Babet	Gueulemer	6
		Babet	Valjean	1
		Babet	Mme.Thenardier	1
		Babet	Javert	2
		Babet	Gavroche	1
		Babet	Eponine	1
		Claquesous	Thenardier	4
		Claquesous	Babet	4
		Claquesous	Gueulemer	4
		Claquesous	Valjean	1
		Claquesous	Mme.Thenardier	1
		Claquesous	Javert	1
		Claquesous	Eponine	1
		Claquesous	Enjolras	1
		Montparnasse	Javert	1
		Montparnasse	Babet	2
		Montparnasse	Gueulemer	2
		Montparnasse	Claquesous	2
		Montparnasse	Valjean	1
		Montparnasse	Gavroche	1
		Montparnasse	Eponine	1
		Montparnasse	Thenardier	1
		Toussaint	Cosette	2
		Toussaint	Javert	1
		Toussaint	Valjean	1
		Child1	Gavroche	2
		Child2	Gavroche	2
		Child2	Child1	3
		Brujon	Babet	3
		Brujon	Gueulemer	3
		Brujon	Thenardier	3
		Brujon	Gavroche	1
		Brujon	Eponine	1
		Brujon	Claquesous	1
		Brujon	Montparnasse	1
		Mme.Hucheloup	Bossuet	1
		Mme.Hucheloup	Joly	1
		Mme.Hucheloup	Grantaire	1
		Mme.Hucheloup	Bahorel	1
		Mme.Hucheloup	Courfeyrac	1
		Mme.Hucheloup	Gavroche	1
		Mme.Hucheloup	Enjolras	1
