町丁字等,人口総数,　男,　女,世帯総数
吹上,1207,553,654,596
吹上１丁目,254,110,144,122
吹上２丁目,953,443,510,474
岩渕町,13,6,7,7
岩渕１丁目,552,241,311,245
岩渕２丁目,427,198,229,235
岩渕３丁目,373,167,206,173
岡本町,-,-,-,-
岡本１丁目,553,267,286,238
岡本２丁目,873,401,472,395
岡本３丁目,615,278,337,291
尾上町,467,211,256,214
倭町,793,357,436,369
楠部町,3099,1477,1622,1158
古市町,719,340,379,333
久世戸町,172,76,96,66
中之町,564,261,303,238
桜木町,1005,460,545,434
中村町,2238,1051,1187,932
中村町桜が丘,745,371,374,340
中村町,1493,680,813,592
宇治浦田町,-,-,-,-
宇治浦田１丁目,455,211,244,194
宇治浦田２丁目,443,216,227,200
宇治浦田３丁目,1226,571,655,477
宇治中之切町,163,73,90,63
宇治今在家町,135,66,69,63
宇治館町,201,87,114,95
勢田町,3661,1691,1970,1548
藤里町,2726,1306,1420,983
旭町,400,184,216,162
前山町,894,416,478,297
大倉町,791,377,414,309
佐八町,509,249,260,163
津村町,634,296,338,218
上野町,1157,525,632,406
円座町,491,243,248,163
神薗町,106,49,57,40
横輪町,86,37,49,37
矢持町,79,37,42,40
上地町,3509,1712,1797,1251
粟野町,798,378,420,331
川端町,478,223,255,180
中須町,1458,676,782,573
宮川,789,351,438,324
宮川１丁目,451,208,243,191
宮川２丁目,338,143,195,133
中島,1011,461,550,419
中島１丁目,367,174,193,154
中島２丁目,644,287,357,265
常磐町,274,124,150,118
常磐１丁目,568,256,312,250
常磐２丁目,515,221,294,167
常磐３丁目,386,187,199,214
浦口町,11,5,6,5
浦口１丁目,266,118,148,114
浦口２丁目,347,159,188,153
浦口３丁目,370,157,213,175
浦口４丁目,1126,529,597,494
辻久留町,483,226,257,188
辻久留１丁目,386,173,213,173
辻久留２丁目,422,199,223,163
辻久留３丁目,850,403,447,328
二俣町,317,94,223,58
二俣１丁目,411,189,222,174
二俣２丁目,168,77,91,69
二俣３丁目,480,223,257,201
二俣４丁目,243,124,119,123
八日市場町,400,184,216,177
一志町,209,99,110,80
本町,358,162,196,165
豊川町,82,36,46,30
宮町,612,264,348,265
宮町１丁目,379,160,219,159
宮町２丁目,233,104,129,106
曽祢,914,445,469,426
曽祢１丁目,468,219,249,198
曽祢２丁目,446,226,220,228
大世古,1214,568,646,526
大世古１丁目,144,72,72,65
大世古２丁目,185,89,96,86
大世古３丁目,323,141,182,136
大世古４丁目,562,266,296,239
一之木,2699,1250,1449,1292
一之木１丁目,276,131,145,119
一之木２丁目,223,123,100,126
一之木３丁目,641,291,350,299
一之木４丁目,659,300,359,317
一之木５丁目,900,405,495,431
宮後,1775,839,936,826
宮後１丁目,243,112,131,97
宮後２丁目,975,469,506,483
宮後３丁目,557,258,299,246
河崎,1752,782,970,776
河崎１丁目,495,218,277,245
河崎２丁目,677,314,363,296
河崎３丁目,580,250,330,235
船江,5318,2495,2823,2196
船江１丁目,1505,683,822,610
船江２丁目,1237,590,647,518
船江３丁目,1096,504,592,459
船江４丁目,1480,718,762,609
下野町,1525,742,783,589
竹ケ鼻町,857,417,440,368
小木町,798,400,398,351
神社港,1267,695,572,624
馬瀬町,1869,892,977,771
大湊町,3110,1478,1632,1251
一色町,1167,559,608,444
通町,1135,555,580,477
田尻町,923,464,459,385
黒瀬町,1939,924,1015,839
神久,1891,912,979,818
神久１丁目,267,138,129,125
神久２丁目,347,168,179,177
神久３丁目,321,146,175,130
神久４丁目,350,165,185,124
神久５丁目,355,170,185,148
神久６丁目,251,125,126,114
神田久志本町,1294,616,678,631
鹿海町,1489,724,765,529
朝熊町,1202,552,650,480
一宇田町,205,102,103,72
東豊浜町,1580,749,831,532
樫原町,269,123,146,92
植山町,164,79,85,56
西豊浜町,2224,1062,1162,756
磯町,725,330,395,227
有滝町,1289,595,694,413
村松町,2363,1074,1289,827
東大淀町,1454,702,752,483
柏町,499,245,254,180
野村町,221,105,116,74
二見町松下,476,224,252,214
二見町江,358,165,193,149
二見町茶屋,659,298,361,276
二見町三津,728,325,403,243
二見町山田原,406,187,219,157
二見町溝口,800,374,426,311
二見町荘,1279,612,667,451
二見町西,1756,848,908,657
二見町今一色,1160,555,605,396
二見町光の街,1125,534,591,345
小俣町元町,566,258,308,224
小俣町元町,592,288,304,237
小俣町元町,411,194,217,162
小俣町本町,135,62,73,53
小俣町本町,473,234,239,184
小俣町本町,729,347,382,186
小俣町本町,937,446,491,369
小俣町本町,319,151,168,133
小俣町本町,1278,593,685,518
小俣町相合,443,220,223,174
小俣町相合,587,281,306,197
小俣町相合,565,267,298,210
小俣町相合,9,5,4,6
小俣町明野,266,119,147,101
小俣町明野,585,280,305,218
小俣町明野,1634,817,817,642
小俣町明野,2078,1076,1002,784
小俣町明野,65,27,38,39
小俣町明野,3,2,1,1
小俣町元町,1063,502,561,425
小俣町元町,562,273,289,201
小俣町元町,884,416,468,338
小俣町宮前,141,98,43,47
小俣町宮前,865,397,468,327
小俣町宮前,313,152,161,141
小俣町本町,647,322,325,256
小俣町宮前,708,326,382,273
小俣町湯田,2106,997,1109,782
小俣町新村,747,370,377,231
小俣町新村,147,74,73,43
御薗町上條,974,478,496,362
御薗町小林,639,331,308,231
御薗町新開,1192,577,615,485
御薗町王中島,807,389,418,331
御薗町長屋,1885,883,1002,726
御薗町高向,3430,1630,1800,1447
