都道府県	人　口	スタバ	人口1人あたりのスタバ数
東京都	13,513,734	284	2.10157E-05
神奈川県	9,127,323	89	9.75094E-06
大阪府	8,838,908	79	8.93776E-06
愛知県	7,484,094	71	9.48679E-06
埼玉県	7,261,271	55	7.57443E-06
千葉県	6,224,027	52	8.35472E-06
兵庫県	5,536,989	38	6.86294E-06
北海道	5,383,579	27	5.01525E-06
福岡県	5,102,871	44	8.6226E-06
静岡県	3,701,181	23	6.21423E-06
茨城県	2,917,857	27	9.25337E-06
広島県	2,844,963	16	5.62397E-06
京都府	2,610,140	26	9.96115E-06
宮城県	2,334,215	16	6.85455E-06
新潟県	2,305,098	11	4.77203E-06
長野県	2,099,759	16	7.61992E-06
岐阜県	2,032,533	8	3.93598E-06
栃木県	1,974,671	17	8.60903E-06
群馬県	1,973,476	12	6.08064E-06
岡山県	1,922,181	11	5.72267E-06
福島県	1,913,606	5	2.61287E-06
三重県	1,815,827	14	7.70999E-06
熊本県	1,786,969	9	5.03646E-06
鹿児島県	1,648,752	4	2.42608E-06
沖縄県	1,434,138	21	1.46429E-05
滋賀県	1,413,184	10	7.07622E-06
山口県	1,405,007	3	2.13522E-06
愛媛県	1,385,840	5	3.60792E-06
長崎県	1,377,780	8	5.80644E-06
奈良県	1,365,008	8	5.86077E-06
青森県	1,308,649	5	3.82073E-06
岩手県	1,279,814	4	3.12545E-06
大分県	1,166,729	7	5.99968E-06
石川県	1,154,343	8	6.93035E-06
山形県	1,122,957	5	4.45253E-06
宮崎県	1,104,377	4	3.62195E-06
富山県	1,066,883	8	7.49848E-06
秋田県	1,022,839	5	4.88835E-06
香川県	976,756	8	8.19038E-06
和歌山県	963,850	5	5.18753E-06
山梨県	835,165	10	1.19737E-05
佐賀県	833,245	6	7.20076E-06
福井県	787,099	4	5.08195E-06
徳島県	756,063	3	3.96792E-06
高知県	728,461	3	4.11827E-06
島根県	694,188	2	2.88106E-06
鳥取県	573,648	0	0
