市区町村,ランナー,サイクリスト,スイマー,トライアスリート
千代田区,3,78,95,34
中央区,57,3,80,86
港区,3,77,23,65
新宿区,89,86,6,60
文京区,90,39,46,49
台東区,79,7,90,84
墨田区,28,32,91,57
江東区,94,70,77,45
品川区,17,39,97,56
目黒区,60,40,87,53
大田区,93,60,60,77
世田谷区,94,91,65,98
渋谷区,6,94,43,8
中野区,75,73,19,78
杉並区,45,21,61,82
豊島区,78,44,55,15
北区,46,22,15,15
荒川区,11,90,92,74
板橋区,70,50,17,6
練馬区,32,57,95,74
足立区,64,38,21,83
葛飾区,61,3,66,50
江戸川区,77,68,92,31
八王子市,67,24,22,39
立川市,48,88,88,38
武蔵野市,60,27,97,29
三鷹市,79,22,79,57
青梅市,98,66,2,57
府中市,57,14,14,45
昭島市,80,84,34,54
調布市,70,74,83,53
町田市,68,80,30,47
小金井市,81,88,89,73
小平市,8,76,24,5
日野市,85,73,11,40
東村山市,59,51,31,94
国分寺市,2,91,64,83
国立市,38,76,14,58
福生市,98,85,43,49
狛江市,93,74,26,85
東大和市,71,29,29,40
清瀬市,4,58,5,96
東久留米市,47,27,13,66
武蔵村山市,30,46,3,20
多摩市,1,10,80,70
稲城市,19,90,9,11
羽村市,71,80,75,55
あきる野市,17,57,28,60
西東京市,78,57,16,66
瑞穂町,18,8,73,78
日の出町,72,78,11,9
檜原村,24,81,36,30
奥多摩町,61,37,44,47
所属未定地,0,0,0,0
