"node0","node1","node2","node3","size"
"死亡総数","結核","平成23年","","5"
"死亡総数","結核","平成24年","","5"
"死亡総数","結核","平成25年","","2"
"死亡総数","悪性新生物","食道","平成23年","31"
"死亡総数","悪性新生物","食道","平成24年","40"
"死亡総数","悪性新生物","食道","平成25年","36"
"死亡総数","悪性新生物","胃","平成23年","141"
"死亡総数","悪性新生物","胃","平成24年","169"
"死亡総数","悪性新生物","胃","平成25年","144"
"死亡総数","悪性新生物","結腸","平成23年","81"
"死亡総数","悪性新生物","結腸","平成24年","117"
"死亡総数","悪性新生物","結腸","平成25年","107"
"死亡総数","悪性新生物","直腸Ｓ状結腸移行部及び直腸","平成23年","38"
"死亡総数","悪性新生物","直腸Ｓ状結腸移行部及び直腸","平成24年","49"
"死亡総数","悪性新生物","直腸Ｓ状結腸移行部及び直腸","平成25年","43"
"死亡総数","悪性新生物","肝及び肝内胆管","平成23年","97"
"死亡総数","悪性新生物","肝及び肝内胆管","平成24年","112"
"死亡総数","悪性新生物","肝及び肝内胆管","平成25年","121"
"死亡総数","悪性新生物","胆のう及び他の胆道","平成23年","59"
"死亡総数","悪性新生物","胆のう及び他の胆道","平成24年","57"
"死亡総数","悪性新生物","胆のう及び他の胆道","平成25年","69"
"死亡総数","悪性新生物","膵","平成23年","97"
"死亡総数","悪性新生物","膵","平成24年","111"
"死亡総数","悪性新生物","膵","平成25年","111"
"死亡総数","悪性新生物","気管，気管支及び肺","平成23年","217"
"死亡総数","悪性新生物","気管，気管支及び肺","平成24年","256"
"死亡総数","悪性新生物","気管，気管支及び肺","平成25年","246"
"死亡総数","悪性新生物","乳房","平成23年","43"
"死亡総数","悪性新生物","乳房","平成24年","48"
"死亡総数","悪性新生物","乳房","平成25年","40"
"死亡総数","悪性新生物","子宮","平成23年","14"
"死亡総数","悪性新生物","子宮","平成24年","18"
"死亡総数","悪性新生物","子宮","平成25年","15"
"死亡総数","悪性新生物","白血病","平成23年","26"
"死亡総数","悪性新生物","白血病","平成24年","32"
"死亡総数","悪性新生物","白血病","平成25年","22"
"死亡総数","悪性新生物","その他","平成23年","234"
"死亡総数","悪性新生物","その他","平成24年","254"
"死亡総数","悪性新生物","その他","平成25年","261"
"死亡総数","糖尿病","平成23年","","48"
"死亡総数","糖尿病","平成24年","","49"
"死亡総数","糖尿病","平成25年","","42"
"死亡総数","高血圧性疾患","平成23年","","23"
"死亡総数","高血圧性疾患","平成24年","","19"
"死亡総数","高血圧性疾患","平成25年","","15"
"死亡総数","心疾患（高血圧性除く）","急性心筋梗塞","平成23年","186"
"死亡総数","心疾患（高血圧性除く）","急性心筋梗塞","平成24年","203"
"死亡総数","心疾患（高血圧性除く）","急性心筋梗塞","平成25年","195"
"死亡総数","心疾患（高血圧性除く）","その他の虚血性心疾患","平成23年","45"
"死亡総数","心疾患（高血圧性除く）","その他の虚血性心疾患","平成24年","52"
"死亡総数","心疾患（高血圧性除く）","その他の虚血性心疾患","平成25年","46"
"死亡総数","心疾患（高血圧性除く）","不整脈及び伝導障害","平成23年","52"
"死亡総数","心疾患（高血圧性除く）","不整脈及び伝導障害","平成24年","65"
"死亡総数","心疾患（高血圧性除く）","不整脈及び伝導障害","平成25年","77"
"死亡総数","心疾患（高血圧性除く）","心不全","平成23年","260"
"死亡総数","心疾患（高血圧性除く）","心不全","平成24年","293"
"死亡総数","心疾患（高血圧性除く）","心不全","平成25年","299"
"死亡総数","心疾患（高血圧性除く）","その他心疾患","平成23年","49"
"死亡総数","心疾患（高血圧性除く）","その他心疾患","平成24年","58"
"死亡総数","心疾患（高血圧性除く）","その他心疾患","平成25年","53"
"死亡総数","その他心疾患","くも膜下出血","平成23年","55"
"死亡総数","その他心疾患","くも膜下出血","平成24年","47"
"死亡総数","その他心疾患","くも膜下出血","平成25年","51"
"死亡総数","その他心疾患","脳内出血","平成23年","134"
"死亡総数","その他心疾患","脳内出血","平成24年","108"
"死亡総数","その他心疾患","脳内出血","平成25年","111"
"死亡総数","その他心疾患","脳梗塞","平成23年","278"
"死亡総数","その他心疾患","脳梗塞","平成24年","277"
"死亡総数","その他心疾患","脳梗塞","平成25年","264"
"死亡総数","その他心疾患","その他脳血管疾患","平成23年","12"
"死亡総数","その他心疾患","その他脳血管疾患","平成24年","12"
"死亡総数","その他心疾患","その他脳血管疾患","平成25年","15"
"死亡総数"," 大動脈瘤及び解離","平成23年","","50"
"死亡総数"," 大動脈瘤及び解離","平成24年","","54"
"死亡総数"," 大動脈瘤及び解離","平成25年","","48"
"死亡総数","肺炎","平成23年","","495"
"死亡総数","肺炎","平成24年","","549"
"死亡総数","肺炎","平成25年","","497"
"死亡総数","慢性閉塞性肺疾患","平成23年","","73"
"死亡総数","慢性閉塞性肺疾患","平成24年","","58"
"死亡総数","慢性閉塞性肺疾患","平成25年","","79"
"死亡総数","喘息","平成23年","","11"
"死亡総数","喘息","平成24年","","11"
"死亡総数","喘息","平成25年","","11"
"死亡総数","肝疾患","平成23年","","55"
"死亡総数","肝疾患","平成24年","","49"
"死亡総数","肝疾患","平成25年","","60"
"死亡総数","腎不全","平成23年","","71"
"死亡総数","腎不全","平成24年","","82"
"死亡総数","腎不全","平成25年","","69"
"死亡総数","老衰","平成23年","","133"
"死亡総数","老衰","平成24年","","187"
"死亡総数","老衰","平成25年","","221"
"死亡総数","不慮の事故","交通事故","平成23年","30"
"死亡総数","不慮の事故","交通事故","平成24年","36"
"死亡総数","不慮の事故","交通事故","平成25年","35"
"死亡総数","不慮の事故","その他","平成23年","149"
"死亡総数","不慮の事故","その他","平成24年","106"
"死亡総数","不慮の事故","その他","平成25年","129"
"死亡総数","自殺","平成23年","","82"
"死亡総数","自殺","平成24年","","81"
"死亡総数","自殺","平成25年","","83"
"死亡総数","その他全死因","平成23年","","739"
"死亡総数","その他全死因","平成24年","","753"
"死亡総数","その他全死因","平成25年","","809"
