名称,概要,住所,緯度,経度,年代,写真1URL(昔),写真2URL(今),写真3URL,写真4URL
72.68[db],,,34.5968563,133.7695009,2016/5/5  9:01:29,,,,
58.60[dB],,,34.5968882,133.7694823,2016/5/5  9:01:44,,,,
60.33[dB],,,34.5969375,133.7694661,2016/5/5  9:02:08,,,,
57.08[dB],,,34.5969963,133.7694459,2016/5/5  9:03:08,,,,
63.32[dB],,,34.5970521,133.7694364,2016/5/5  9:04:08,,,,
64.64[dB],,,34.5971011,133.7694244,2016/5/5  9:05:08,,,,
64.14[dB],,,34.5971515,133.7694003,2016/5/5  9:06:08,,,,
60.52[dB],,,34.5972017,133.7693835,2016/5/5  9:07:08,,,,
60.56[dB],,,34.5972540,133.7693623,2016/5/5  9:08:08,,,,
60.44[dB],,,34.5973316,133.7692932,2016/5/5  9:09:08,,,,
73.99[dB],,,34.5973295,133.7692858,2016/5/5  9:10:08,,,,
57.80[dB],,,34.5973303,133.7692872,2016/5/5  9:10:48,,,,
53.66[dB],,,34.5975528,133.7694859,2016/5/5  9:12:08,,,,
63.67[dB],,,34.5975716,133.7695390,2016/5/5  9:13:08,,,,
46.26[dB],,,34.5977142,133.7701994,2016/5/5  9:14:08,,,,
48.23[dB],,,34.5977689,133.7702787,2016/5/5  9:15:08,,,,
55.16[dB],,,34.5977686,133.7702923,2016/5/5  9:16:08,,,,
48.59[dB],,,34.5977686,133.7702916,2016/5/5  9:17:08,,,,
