name,value
地区,970
美観,969
倉敷,535
岡山,171
日,107
街,105
～,95
並み,94
笑,93
の,90
観光,87
♪,83
ー,83
レ,80
旅,80
トロ,79
おすすめ,78
ん,76
さん,76
マステ,76
女子,75
聖地,75
東京,68
南京,66
ところ,58
県,57
マスコット,56
ドロンパ,56
選挙,56
廟,55
夫子,55
人,54
私,52
展,51
撮影,50
猫,48
展示,48
こと,46
方,43
時,42
感じ,41
市,40
イベント,38
おいで,37
中,37
年,35
今日,35
掲載,32
夜,31
写真,31
カフェ,31
土,29
みたい,27
ギャラリー,27
露,27
雛,27
遊,27
十,27
名所,26
芸術,26
屋,26
室,25
募集,24
後楽園,24
歴史,23
店,22
?,22
卒業,22
月,22
前,21
日本,21
場所,21
参加,21
そう,21
位,20
あと,20
制作,20
今,20
ﾟ,19
オープン,18
もの,18
まとめ,18
2,18
散歩,18
旅行,18
駅,17
イオン,17
整備,17
ちゃん,17
土産,17
レイヤー,17
一,17
外,17
開催,17
ぇ,17
明日,17
?,16
＃,16
愛,16
点,16
時間,16
大,16
科学,16
是非,15
下,15
拠点,15
綺麗,15
研究,15
昨日,15
リツィートプリーズ,15
一つ,15
教育,15
美術館,15
出品,15
像,14
孔子,14
とこ,14
コース,14
以外,14
1,14
教科書,14
占領,14
地域,14
ついで,13
有名,13
ヒョウ,13
素敵,13
オススメ,13
地,13
旅館,13
散策,13
料理,12
お願い,12
カメラマン,12
期,12
連携,12
スクエア,12
英語,12
コス,12
何,12
行動,12
アイビー,12
予定,11
感情,11
それ,11
景観,11
出張,11
世界,11
目,11
城,11
反日,11
さ,11
団体,11
地図,11
なん,11
嫌,11
当日,11
大学,11
限り,11
飯,10
そ,10
森,10
デニム,10
デザ,10
的,10
系,10
３つ,10
宣伝,10
好き,10
川崎医療福祉大学,10
ホスピタル,10
ビジュアル,10
近く,10
メディカル,10
客,10
昼,9
うどん,9
等,9
ロケーション,9
参考,9
連絡,9
やつ,9
アウトレット,9
楽しみ,9
際,9
先月,9
名,9
陰影,9
どこ,9
宿,9
まちなか,9
はん,9
都合,8
ベンガルキャット,8
大丈夫,8
大原,8
みんな,8
受付,8
所,8
大変,8
お待ち,8
こちら,8
確定,8
スポット,8
次,8
普通,8
皆,8
絶景,8
そこ,8
会館,8
お菓子,8
回,8
今年,8
くだ,8
南,8
市民,8
狩り,8
気,7
よう,7
ランチ,7
ニュース,7
神社,7
0,7
車,7
度,7
全国,7
衣装,7
広島,7
和,7
夜景,7
僕,7
･･･,7
刀剣,7
魚,7
屋敷,7
ら,7
泊まり,6
構成,6
間,6
結果,6
浜吉,6
満足,6
ほんま,6
コミ,6
レストラン,6
一体化,6
電車,6
今回,6
和装,6
～！,6
最高,6
ポートレート,6
設置,6
ロケ,6
運転,6
質問,6
ここ,6
地元,6
?,6
予算,6
家,6
ホテル,6
道,6
びぃ,6
カレー,6
たま,6
自分,6
さら,6
祭,6
瀬戸内,6
もん,6
販売,6
絵,6
年寄り,6
占い,6
会,6
｡,6
年齢,6
アイス,6
事,6
会食,6
着物,6
阿智,6
音楽,6
子連れ,6
?,6
予約,6
フォロー,6
いちご,6
他,6
これ,6
俺,6
個室,6
顔,6
行き,6
?,5
ニコモチック,5
天気,5
日間,5
天神山,5
あそこ,5
付き合い,5
機,5
とき,5
剣,5
アリオ,5
！:…,5
専門,5
プラザ,5
柄,5
雰囲気,5
人達,5
くん,5
美術,5
冰雨,5
最悪,5
ぁ,5
鷲羽山,5
お気に入り,5
博物館,5
いつか,5
スタジオ,5
銅,5
後,5
イチゴ,5
意味,5
ホ,5
ピン,5
版画,5
ｗｗｗ,5
フクロウ,5
風景,5
専修,5
久々,5
切り,5
産経,5
朝,5
あっち,4
チャリ,4
反応,4
変,4
向け,4
心,4
あかり,4
町並み,4
情報,4
組,4
韓国,4
ドトール,4
モール,4
ハイランド,4
案内,4
周辺,4
被写体,4
えびす,4
誰,4
卒,4
謎,4
藤四郎,4
きれい,4
駅前,4
調べ,4
注目,4
遊び,4
あたり,4
プリン,4
様,4
あなた,4
ラーメン,4
ダメ,4
ﾉ,4
?,4
仕事,4
充実,4
オリジナル,4
祝日,4
雑貨,4
気軽,4
今度,4
歌劇,4
マリ,4
酒,4
子,4
今月,4
自動,4
プレ,4
アンコン,4
?,4
♪♪,4
！(,4
終了,4
グルメ,4
おっさん,4
狐,4
?,4
久しぶり,4
倉敷川,4
人力車,4
一緒,4
乱,4
演奏,4
出雲,4
テレビ,4
春宵,4
館,4
向こう,4
決定,4
かなり,4
