Busstop_code,Name,Name_KANA,Platform_code,Platform_info,UID,ward,longitude,latitude
01013,愛知県図書館,アイチケントショカン,301,1番,01013301,中区,136.894679354,35.1775805518
01013,愛知県図書館,アイチケントショカン,701,2番,01013701,中区,136.894677342,35.1773530943
01055,曙町一丁目,アケボノチョウイッチョウメ,301,,01055301,昭和区,136.926606259,35.1556998306
01055,曙町一丁目,アケボノチョウイッチョウメ,701,,01055701,昭和区,136.926374103,35.1555853544
01060,曙町二丁目,アケボノチョウニチョウメ,300,,01060300,昭和区,136.930456965,35.1556138094
01060,曙町二丁目,アケボノチョウニチョウメ,301,,01060301,昭和区,136.931494115,35.1554310591
01060,曙町二丁目,アケボノチョウニチョウメ,701,,01060701,昭和区,136.930573556,35.1555336003
01140,阿由知通二丁目,アユチドオリニチョウメ,101,,01140101,昭和区,136.934286257,35.1540061775
01140,阿由知通二丁目,アユチドオリニチョウメ,301,,01140301,昭和区,136.935195922,35.1548031636
01140,阿由知通二丁目,アユチドオリニチョウメ,501,,01140501,昭和区,136.934473318,35.1538624767
01140,阿由知通二丁目,アユチドオリニチョウメ,701,,01140701,昭和区,136.935000956,35.1547613789
01185,荒畑,アラハタ,301,1番,01185301,昭和区,136.927084138,35.1497454101
01185,荒畑,アラハタ,701,2番,01185701,昭和区,136.926082732,35.1494952098
02030,石川橋,イシカワバシ,102,4番,02030102,昭和区,136.944769969,35.1392109194
02030,石川橋,イシカワバシ,301,1番,02030301,昭和区,136.945674392,35.138673719
02030,石川橋,イシカワバシ,501,3番,02030501,昭和区,136.944989337,35.139232315
02030,石川橋,イシカワバシ,701,2番,02030701,昭和区,136.946148052,35.1385095891
02200,杁中,イリナカ,300,3番,02200300,昭和区,136.953842017,35.1446526031
02200,杁中,イリナカ,302,1番,02200302,昭和区,136.954584318,35.1440116244
02200,杁中,イリナカ,701,7番,02200701,昭和区,136.95505594,35.1433272066
02200,杁中,イリナカ,702,5番,02200702,昭和区,136.953608258,35.1445659986
02200,杁中,イリナカ,801,,02200801,昭和区,136.955134031,35.1440869806
02200,杁中,イリナカ,802,,02200802,昭和区,136.954112271,35.1446683796
02215,岩井通一丁目,イワイドオリイッチョウメ,301,,02215301,中区,136.893462325,35.1593230222
02215,岩井通一丁目,イワイドオリイッチョウメ,701,,02215701,中区,136.894315736,35.1588151194
04015,恵方町,エホウチョウ,101,,04015101,昭和区,136.933272544,35.1448497167
04015,恵方町,エホウチョウ,501,,04015501,昭和区,136.933680461,35.1461697917
04035,円上,エンジョウ,101,,04035101,昭和区,136.917627689,35.1436529944
04035,円上,エンジョウ,501,,04035501,昭和区,136.918111474,35.1440004645
05020,大池町,オオイケチョウ,301,,05020301,中区,136.910646038,35.1567541315
05020,大池町,オオイケチョウ,701,,05020701,中区,136.911234875,35.1563999222
05025,大井町,オオイチョウ,301,,05025301,中区,136.907741367,35.1501904917
05025,大井町,オオイチョウ,701,,05025701,中区,136.908491135,35.1498604005
05050,大須,オオス,301,,05050301,中区,136.900159301,35.1579196421
05050,大須,オオス,701,,05050701,中区,136.902067995,35.1575288006
05055,大須観音,オオスカンノン,101,2番,05055101,中区,136.898133845,35.159447682
05055,大須観音,オオスカンノン,501,1番,05055501,中区,136.898546905,35.1594146657
05105,大津通,オオツドオリ,101,1番,05105101,中区,136.906160333,35.17529755
05105,大津通,オオツドオリ,501,2番,05105501,中区,136.906158417,35.1758971194
05110,大津橋,オオツバシ,101,,05110101,中区,136.905866491,35.176649919
05110,大津橋,オオツバシ,301,,05110301,中区,136.904526366,35.1782224626
05110,大津橋,オオツバシ,501,,05110501,中区,136.906180583,35.1772562861
05110,大津橋,オオツバシ,701,,05110701,中区,136.904347769,35.1779468278
11002,科学館西,カガクカンニシ,501,,11002501,中区,136.897960681,35.1658413095
11002,科学館西,カガクカンニシ,701,,11002701,中区,136.897057513,35.1661194231
11075,金山,カナヤマ,001,,11075001,中区,136.901950996,35.1433140254
11075,金山,カナヤマ,004,,11075004,中区,136.901899358,35.1434226415
11075,金山,カナヤマ,009,8番,11075009,中区,136.901574206,35.1440870806
11075,金山,カナヤマ,010,,11075010,中区,136.901710381,35.144246125
11075,金山,カナヤマ,101,,11075101,中区,136.902543386,35.1440327923
