source_name,source_group,target_name,target_group,value
Napoleon,1,Myriel,1,1
Mlle.Baptistine,1,Myriel,1,8
Mme.Magloire,1,Myriel,1,10
Mme.Magloire,1,Mlle.Baptistine,1,6
CountessdeLo,1,Myriel,1,1
Geborand,1,Myriel,1,1
Champtercier,1,Myriel,1,1
Cravatte,1,Myriel,1,1
Count,1,Myriel,1,2
OldMan,1,Myriel,1,1
Valjean,2,Labarre,2,1
Valjean,2,Mme.Magloire,1,3
Valjean,2,Mlle.Baptistine,1,3
Valjean,2,Myriel,1,5
Marguerite,3,Valjean,2,1
Mme.deR,2,Valjean,2,1
Isabeau,2,Valjean,2,1
Gervais,2,Valjean,2,1
Listolier,3,Tholomyes,3,4
Fameuil,3,Tholomyes,3,4
Fameuil,3,Listolier,3,4
Blacheville,3,Tholomyes,3,4
Blacheville,3,Listolier,3,4
Blacheville,3,Fameuil,3,4
Favourite,3,Tholomyes,3,3
Favourite,3,Listolier,3,3
Favourite,3,Fameuil,3,3
Favourite,3,Blacheville,3,4
Dahlia,3,Tholomyes,3,3
Dahlia,3,Listolier,3,3
Dahlia,3,Fameuil,3,3
Dahlia,3,Blacheville,3,3
Dahlia,3,Favourite,3,5
Zephine,3,Tholomyes,3,3
Zephine,3,Listolier,3,3
Zephine,3,Fameuil,3,3
Zephine,3,Blacheville,3,3
Zephine,3,Favourite,3,4
Zephine,3,Dahlia,3,4
Fantine,3,Tholomyes,3,3
Fantine,3,Listolier,3,3
Fantine,3,Fameuil,3,3
Fantine,3,Blacheville,3,3
Fantine,3,Favourite,3,4
Fantine,3,Dahlia,3,4
Fantine,3,Zephine,3,4
Fantine,3,Marguerite,3,2
Fantine,3,Valjean,2,9
Mme.Thenardier,4,Fantine,3,2
Mme.Thenardier,4,Valjean,2,7
Thenardier,4,Mme.Thenardier,4,13
Thenardier,4,Fantine,3,1
Thenardier,4,Valjean,2,12
Cosette,5,Mme.Thenardier,4,4
Cosette,5,Valjean,2,31
Cosette,5,Tholomyes,3,1
Cosette,5,Thenardier,4,1
Javert,4,Valjean,2,17
Javert,4,Fantine,3,5
Javert,4,Thenardier,4,5
Javert,4,Mme.Thenardier,4,1
Javert,4,Cosette,5,1
Fauchelevent,0,Valjean,2,8
Fauchelevent,0,Javert,4,1
Bamatabois,2,Fantine,3,1
Bamatabois,2,Javert,4,1
Bamatabois,2,Valjean,2,2
Perpetue,3,Fantine,3,1
Simplice,2,Perpetue,3,2
Simplice,2,Valjean,2,3
Simplice,2,Fantine,3,2
Simplice,2,Javert,4,1
Scaufflaire,2,Valjean,2,1
Woman1,2,Valjean,2,2
Woman1,2,Javert,4,1
Judge,2,Valjean,2,3
Judge,2,Bamatabois,2,2
Champmathieu,2,Valjean,2,3
Champmathieu,2,Judge,2,3
Champmathieu,2,Bamatabois,2,2
Brevet,2,Judge,2,2
Brevet,2,Champmathieu,2,2
Brevet,2,Valjean,2,2
Brevet,2,Bamatabois,2,1
Chenildieu,2,Judge,2,2
Chenildieu,2,Champmathieu,2,2
Chenildieu,2,Brevet,2,2
Chenildieu,2,Valjean,2,2
Chenildieu,2,Bamatabois,2,1
Cochepaille,2,Judge,2,2
Cochepaille,2,Champmathieu,2,2
Cochepaille,2,Brevet,2,2
Cochepaille,2,Chenildieu,2,2
Cochepaille,2,Valjean,2,2
Cochepaille,2,Bamatabois,2,1
Pontmercy,4,Thenardier,4,1
Boulatruelle,6,Thenardier,4,1
Eponine,4,Mme.Thenardier,4,2
Eponine,4,Thenardier,4,3
Anzelma,4,Eponine,4,2
Anzelma,4,Thenardier,4,2
Anzelma,4,Mme.Thenardier,4,1
Woman2,5,Valjean,2,3
Woman2,5,Cosette,5,1
Woman2,5,Javert,4,1
MotherInnocent,0,Fauchelevent,0,3
MotherInnocent,0,Valjean,2,1
Gribier,0,Fauchelevent,0,2
Mme.Burgon,7,Jondrette,7,1
Gavroche,8,Mme.Burgon,7,2
Gavroche,8,Thenardier,4,1
Gavroche,8,Javert,4,1
Gavroche,8,Valjean,2,1
Gillenormand,5,Cosette,5,3
Gillenormand,5,Valjean,2,2
Magnon,5,Gillenormand,5,1
Magnon,5,Mme.Thenardier,4,1
Mlle.Gillenormand,5,Gillenormand,5,9
Mlle.Gillenormand,5,Cosette,5,2
Mlle.Gillenormand,5,Valjean,2,2
Mme.Pontmercy,5,Mlle.Gillenormand,5,1
Mme.Pontmercy,5,Pontmercy,4,1
Mlle.Vaubois,5,Mlle.Gillenormand,5,1
Lt.Gillenormand,5,Mlle.Gillenormand,5,2
