駅,"計測タイミング/
 平均値",A社,A社,A社,B社,B社,B社,C社,C社,C社
駅,"計測タイミング/
 平均値",指標1, 指標2,指標3,指標1, 指標2,指標3,指標1, 指標2,指標3
JR大阪駅,1回目,55.63,22.12,45,11.18,5.53,42,24.21,18.26,41
JR大阪駅,2回目,50.27,20.71,48,19.93,8,35,21.88,10.37,41
JR大阪駅,平均値,52.95,21.42,47,15.56,6.77,39,23.05,14.32,41
JR天満駅,1回目,26.71,36.34,37,36.78,7.56,51,25.38,10.37,33
JR天満駅,2回目,28.52,32.05,33,34.96,7.57,49,39.74,14.32,31
JR天満駅,平均値,27.62,34.2,35,35.87,7.57,50,32.56,12.35,32
JR桜ノ宮駅,1回目,38.88,30.71,31,36.31,7.57,47,30.61,8.86,32
JR桜ノ宮駅,2回目,44.42,31.92,36,32.72,7.53,61,41.09,8.23,31
JR桜ノ宮駅,平均値,41.65,31.32,34,34.52,7.55,54,35.85,8.55,32
JR京橋駅,1回目,41.11,25.9,49,40.79,6.84,68,18.3,6.86,30
JR京橋駅,2回目,42.21,23.69,33,40.86,6.99,54,7.4,4.44,40
JR京橋駅,平均値,41.66,24.8,41,40.83,6.92,61,12.85,5.65,35
JR大阪城公園,1回目,30.78,19.82,43,72.75,12.78,32,23.83,25.73,43
JR大阪城公園,2回目,25.89,14.58,38,47.39,6.92,50,14.8,3.33,35
JR大阪城公園,平均値,28.34,17.2,41,60.07,9.85,41,19.32,14.53,39
森ノ宮,1回目,84.21,33.59,40,28.19,12.61,75,50.7,7.54,29
森ノ宮,2回目,86.33,25.67,37,22.61,7.67,89,61.37,7.61,38
森ノ宮,平均値,85.27,29.63,39,25.4,10.14,82,56.04,7.58,34
玉造,1回目,70.54,37.09,48,40.84,7.54,47,28.76,4.97,88
玉造,2回目,75.07,32.94,47,39.19,7.58,56,38.49,3.94,55
玉造,平均値,72.81,35.02,48,40.02,7.56,52,33.63,4.46,72
鶴橋,1回目,56.18,12.98,39,54.32,5.53,50,39.11,8.28,30
鶴橋,2回目,63.91,12.41,41,51.98,5.8,51,38.63,8.56,32
鶴橋,平均値,60.05,12.7,40,53.15,5.67,51,38.87,8.42,31
桃谷,1回目,76.34,76.94,31,65.69,7.46,47,17.3,8.61,34
桃谷,2回目,79.7,32.28,33,59.98,7.28,58,18.95,8.24,32
桃谷,平均値,78.02,54.61,32,62.84,7.37,53,18.13,8.43,33
寺田町,1回目,49.35,15.82,44,87.15,7.55,49,44.44,6.76,45
寺田町,2回目,46.52,13.82,40,82.75,7.37,54,40.65,7.14,45
寺田町,平均値,47.94,14.82,42,84.95,7.46,52,42.55,6.95,45
天王寺,1回目,39.74,25.07,34,31.8,7.25,59,25.69,6.83,29
天王寺,2回目,48.22,27.56,45,37.2,7.56,55,23.3,5.46,32
天王寺,平均値,43.98,26.32,40,34.5,7.41,57,24.5,6.15,31
新今宮,1回目,74.66,31.13,47,40.27,7.39,57,17.23,8.25,30
新今宮,2回目,65.52,31.92,44,45.01,7.55,48,18.52,8.2,48
新今宮,平均値,70.09,31.53,46,42.64,7.47,53,17.88,8.23,39
今宮,1回目,44.86,27.86,40,32.72,7.38,59,24.32,5.7,38
今宮,2回目,50.45,32.01,50,45.67,7.56,54,26.58,8,30
今宮,平均値,47.66,29.94,45,39.2,7.47,57,25.45,6.85,34
芦原橋,1回目,42.58,26.26,37,25.98,8.4,41,37.25,8.86,31
芦原橋,2回目,37.86,30.43,48,40.67,10.8,35,19.34,8.92,31
芦原橋,平均値,40.22,28.35,43,33.33,9.6,38,28.3,8.89,31
大正,1回目,55.92,30.51,39,32.68,6.99,52,42.47,8.03,31
大正,2回目,48.49,28.86,37,49.01,7.55,51,37.16,8.46,33
大正,平均値,52.21,29.69,38,40.85,7.27,52,39.82,8.25,32
弁天町,1回目,37.9,27.69,41,25.89,7.12,51,50.77,8.32,29
弁天町,2回目,46.72,30.7,40,39.23,6.83,47,55.85,8.67,32
弁天町,平均値,42.31,29.2,41,32.56,6.98,49,53.31,8.5,31
西九条,1回目,44.25,30.33,37,24.67,7.42,134,48.15,8.06,27
西九条,2回目,45.35,21.47,40,24.44,7.58,60,43.26,10.32,30
西九条,平均値,44.8,25.9,39,24.56,7.5,97,45.71,9.19,29
野田,1回目,58.92,26.05,50,81.71,7.58,49,35.3,8.63,32
野田,2回目,57.53,27.75,34,79.5,7.58,60,40,9.15,39
野田,平均値,58.23,26.9,42,80.61,7.58,55,37.65,8.89,36
福島,1回目,42.23,16.46,30,37.25,7.14,50,20.91,5.08,31
福島,2回目,52.72,26.03,32,41.91,7.5,47,14.69,18.15,32
福島,平均値,47.48,21.25,31,39.58,7.32,49,17.8,11.62,32
