city,経営耕作面積_田,経営耕作面積_畑,経営耕作面積_樹園地
岡山市,986697,56904,48457
倉敷市,270773,29454,37122
津山市,395267,33889,6165
玉野市,56320,4084,2201
笠岡市,28213,48801,4687
井原市,69337,31976,11006
総社市,163149,9862,7479
高梁市,118077,52115,15212
新見市,157195,36691,13382
備前市,36238,3165,3365
瀬戸内市,157085,34267,7598
赤磐市,163597,10233,19622
真庭市,305329,121085,9721
美作市,184660,25786,7333
浅口市,24681,6647,6648
和気町,58339,3344,1802
早島町,14356,226,258
里庄町,2456,1686,784
矢掛町,69565,8583,1909
新庄村,15464,1849,99
鏡野町,130922,7214,2487
勝央町,87511,18872,4116
奈義町,74854,10447,986
西粟倉村,10754,808,40
久米南町,69749,7477,3256
美咲町,120123,18207,3545
吉備中央町,143916,27933,5759
