全国地方公共団体コード,識別値,種別,種別小分類,name,施設名（カナ）,通称,住所表記,郵便番号,lat,lon,description,連絡先名称,電話番号,Webサイト
23204,KSDT01,保育園,民間,東保育園,ヒガシホイクエン,,愛知県瀬戸市春雨町4,4890893,35.22,137.10573,,東保育園,0561-82-2284,
23204,KSDT02,保育園,公立,西保育園,ニシホイクエン,,愛知県瀬戸市陶原町6丁目2,4890805,35.22322,137.0865,,西保育園,0561-82-3090,
23204,KSDT03,保育園,公立,南保育園,ミナミホイクエン,,愛知県瀬戸市原山町1-13,4890889,35.21824,137.09514,,南保育園,0561-82-2900,
23204,KSDT04,保育園,民間,瀬戸北保育園,セトキタホイクエン,,愛知県瀬戸市西谷町84,4890047,35.22825,137.09611,,瀬戸北保育園,0561-82-2949,
23204,KSDT05,保育園,公立,水南保育園,スイナンホイクエン,,愛知県瀬戸市東松山町155,4890069,35.23175,137.08307,,水南保育園,"0561-82-4313 	",
23204,KSDT06,保育園,公立,水北保育園,スイホクホイクエン,,愛知県瀬戸市中水野町1丁目141,4890005,35.24605,137.08023,,水北保育園,0561-48-1741,
23204,KSDT07,保育園,公立,古瀬戸保育園,コセトホイクエン,,愛知県瀬戸市西拝戸町16-2,4890848,35.227,137.11535,,古瀬戸保育園,0561-82-4544,
23204,KSDT08,保育園,公設民営,幡山保育園,ハタヤマホイクエン,,愛知県瀬戸市瘤木町70,4890879,35.21419,137.08169,,幡山保育園,0561-82-3906,
23204,KSDT09,保育園,公立,幡山東保育園,ハヤタマヒガシホイクエン,,愛知県瀬戸市田中町103,4890961,35.19603,137.10093,,幡山東保育園,0561-82-4405,
23204,KSDT10,保育園,民間,アートチャイルドケア瀬戸幡山西保育園,アートチャイルドケアセトハタヤマニシホイクエン,,愛知県瀬戸市西本地町1丁目110-1,4890971,35.2047,137.06244,,アートチャイルドケア瀬戸幡山西保育園,0561-89-5135,
23204,KSDT11,保育園,公立,幡山南保育園,ハタヤマミナミホイクエン,,愛知県瀬戸市東菱野町142,4890942,35.20138,137.08299,,幡山南保育園,0561-83-4048,
23204,KSDT12,保育園,公立,品野西保育園,シナノニシホイクエン,,愛知県瀬戸市品野町6丁目183,4801207,35.25009,137.12147,,品野西保育園,0561-41-0418,
