Tree#	Girth	Height	Volume	Age
1	8.3	70	10.3	100
2	8.6	65	10.3	52
3	8.8	63	10.2	45
4	10.5	72	16.4	67
5	10.7	81	18.8	64
6	10.8	83	19.7	91
7	11	66	15.6	82
8	11	75	18.2	100
9	11.1	80	22.6	43
10	11.2	75	19.9	99
11	11.3	79	24.2	97
12	11.4	76	21	60
13	11.4	76	21.4	38
14	11.7	69	21.3	43
15	12	75	19.1	64
16	12.9	74	22.2	83
17	12.9	85	33.8	48
18	13.3	86	27.4	75
19	13.7	71	25.7	62
20	13.8	64	24.9	77
21	14	78	34.5	64
22	14.2	80	31.7	70
23	14.5	74	36.3	59
24	16	72	38.3	89
25	16.3	77	42.6	87
26	17.3	81	55.4	60
27	17.5	82	55.7	81
28	17.9	80	58.3	44
29	18	80	51.5	89
30	18	80	51	85
31	20.6	87	77	69
