"Term","2011","2012","2013","2014","2015","jpg"
"たくさん","","","2.00","","",""
"データ","","","2.00","","",""
"デモ","","2.00","","","","demo.jpg"
"財源","","2.00","","","",""
"財政","9.00","13.00","11.00","5.00","14.00","zaisei.jpg"
"削減","","","","2.00","",""
"三芳","","","","","4.00",""
"治安","","","","","2.00",""
"自治体","","2.00","","","",""
"自分","","2.00","","","",""
"社会","2.00","4.00","2.00","2.00","3.00",""
"取り組み","","","3.00","","",""
"授業","","2.00","","","",""
"税","2.00","","","","2.00",""
"説明","","","","","2.00",""
"千葉","","2.00","","","",""
"川越","","6.00","","","3.00","kawagoe.jpg"
"選挙","2.00","4.00","","","2.00","senkyo.jpg"
"地域","","","2.00","2.00","",""
"地方","","","","","3.00",""
"地方自治体","","","","","2.00",""
"秩父","2.00","","2.00","3.00","","chichibu.jpg"
"着物","2.00","","","","",""
"庁舎","","","","2.00","",""
"話","3.00","","","","",""
"籠原","","","2.00","","",""
