名称,概要,住所,緯度,経度,,写真1URL(場所),写真2URL(ポケモン),写真3URL,写真4URL
倉敷市芸文館,パウワウの巣, 岡山県倉敷市中央１−１８−１,34.5930556,133.7691346,,http://www.kcpf.or.jp/hall/geibu/image/zenkan/gaikan2.jpg,http://pokemongo.biz/wp-content/uploads/2016/03/86.png,,
倉敷美観地区,ミニリュウの巣,"岡山県倉敷市本町４
",34.5958452,133.7697655,,http://www.kurashiki-tabi.jp/wp-content/uploads/2011/06/%E5%A4%9C%E9%96%93%E6%99%AF%E8%A6%B3%E7%85%A7%E6%98%8E1.jpg,http://pokemongo-soku.com/wp-content/uploads/2016/05/147.gif,,
阿智神社,ピカチュウの巣,岡山県倉敷市本町１２−１,34.5974784,133.7713213,,http://img-cdn.jg.jugem.jp/a46/102630/20100810_1303431.jpg,http://xn--go-x93azb8f1byczorovb7l8092d85ub.com/wp-content/uploads/2016/07/28760029.gif,,
笠岡総合スポーツ公園,ピカチュウの巣,岡山県笠岡市平成町６３−２,34.5033014,133.4867745,,http://gamerchiko.com/wp-content/uploads/2016/08/%E7%AC%A0%E5%B2%A1%E7%B7%8F%E5%90%88%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E5%85%AC%E5%9C%92.png,http://xn--go-x93azb8f1byczorovb7l8092d85ub.com/wp-content/uploads/2016/07/28760029.gif,,
笠岡市立 カブトガニ博物館,カブトの巣,岡山県笠岡市横島１９４６−２,34.4773973,133.5192792,,http://www.museum.or.jp/uploads/imdb/file/museum/00006087/00006087.jpg,http://pokesoku.co/wp-content/uploads/2016/07/%E5%86%99%E7%9C%9F-2016-07-23-9-32-54.jpg,,
西川緑道公園駅,ミニリュウの巣,岡山県岡山市北区本町３−９,34.6654934,133.9209273,,http://www.city.okayama.jp/contents/000013737.jpg,http://pokemongo-soku.com/wp-content/uploads/2016/05/147.gif,,
鶴山公園,ピカチュウの巣,岡山県津山市 山下135,35.0627566,134.0033098,,http://drive.nissan.co.jp/C/IMAGEC/1/32645/32645_3_xl.jpg,http://xn--go-x93azb8f1byczorovb7l8092d85ub.com/wp-content/uploads/2016/07/28760029.gif,,
水島ＪＦＥ,電気ポケモンの巣,岡山県倉敷市水島川崎通１丁目,34.5274028,133.7073505,,http://www.kurashiki-tabi.jp/wp-content/uploads/2011/10/dbbd2a4ddcfdf62325b123b3a27734263-360x270.jpg,http://pokemongo.biz/wp-content/uploads/2016/08/NDfKFghb.jpg,,
水島中央公園,ケーシーの巣,岡山県倉敷市水島青葉町95−1,34.5356264,133.7356678,,http://www.k-sports.or.jp/common/photo/facilities/image1/l_201211022109410206007.jpg,http://robot8.net/wp-content/uploads/2016/07/063.gif,,
大多羅駅,ミニリュウの巣,岡山県岡山市東区大多羅町 岡山県岡山市東区大多羅町430−1,34.6656835,134.0038722,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/JRW-Odara-station02.jpg/250px-JRW-Odara-station02.jpg,http://pokemongo-soku.com/wp-content/uploads/2016/05/147.gif,,
マスカットスタジアム,ゼニガメの巣,岡山県倉敷市中庄3250−1,34.6202761,133.8019206,,http://okayama-kotsu.com/wp-content/uploads/2014/09/080.jpg,http://pokemon.appbako.com/wp-content/uploads/2016/08/zenigame.png,,
玉島ハーバーアイランド,ビリリダマの巣,岡山県倉敷市玉島乙島８２５９−１２,34.4977362,133.6715895,,http://www.pref.okayama.jp/uploaded/life/42589_149045_img.jpg,http://blogs.c.yimg.jp/res/blog-74-a0/jmfmg792/folder/934769/33/31619033/img_0,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
