Pref,NonRep,OverMin,Rent,HomeOwn,CompPol,NumClime,NumLarc,TrafAcci,Fire,DspRubb,Sidewalk,MedFacil,OverOrd,Sunshine,NumMat,AreaResi,Transpt,AreaPark,Sewarage,Recycle,AmtRubb,AvgMin,Pavement
"北海道",7.67,94.3,1510,54,15,7.6,206,451.8,77.3,44.78,21.7,57.3,53.71,56.16,11.8,306,90.9,25.5,77.86,4.9,1655,24,19.9
"青森県",7.8,95.9,1480,71.6,32.8,4.5,103,558.2,88.1,66.29,10.9,30.1,57.73,61.99,12.6,356,87.1,12.9,36,3.2,1363.6,23,24.9
"岩手県",6.93,95,1643,72.8,22,6.3,115,388.9,65.6,79.81,8.3,34.1,55.65,72.2,12.4,365,80.2,9.6,35.5,11.3,940,24,14.4
"宮城県",7.26,93.9,2257,60.7,34.3,9.1,272,471.1,81.7,83.99,13.8,49.4,45.44,67.29,10.8,358,85.1,11.7,40.1,16.2,1102.9,29,26.6
"秋田県",5.92,97.1,1554,79.6,23.1,9.1,88,364.3,84.8,70.43,8.3,31.4,63.89,63.55,13.3,389,84.9,15.8,31.9,10.4,1203.8,22,15.7
"山形県",5.75,96.8,1701,79.2,31,5.6,137,496.6,94.8,81.28,15,40.9,54.28,74.52,11.7,398,79.7,13.4,44.6,16.5,950.2,23,20.7
"福島県",7.11,93.7,1811,68.6,25.1,6.5,232,618.6,94.3,83.07,8,38.1,47.43,74.51,11,374,81.9,9.2,36.9,9.5,1044,26,14.7
"茨城県",5.36,93.2,2063,70.5,41.8,12.5,245,732.6,95.1,79.28,7.8,30.9,40.75,72.37,10.2,433,72.7,7.9,47.6,12.6,1105.5,31,11.4
"栃木県",5.19,93,2123,69.2,58.4,8.5,209,700.2,92.6,82.42,11,47.9,41.22,73.74,10.3,402,61.9,10.4,43.1,16.2,1055.4,28,20.8
"群馬県",5.99,93.3,1992,70.4,51,6.7,275,854.7,80.9,84.11,6.8,44.9,41.66,74.3,10.6,363,61.4,10.5,41.1,12.3,1069,28,16.8
"埼玉県",4.13,90.1,3085,61.9,59.2,15,246,596.9,70.7,85.12,10.7,59.1,32.78,58.62,9.3,245,75.4,5.2,69.6,15,938.1,46,15.7
"千葉県",4.4,91.2,2908,61.1,40.7,13.1,342,535.4,70,83.33,11.8,59.4,36.93,59.61,9.7,278,84,5.9,60.49,19.4,1012.1,45,22.5
"東京都",6.86,78.8,4379,39.6,55.4,15.7,366,528.6,76.6,82.68,21.8,87.7,25.79,44.01,8.7,156,95.4,5.1,95.85,7.9,1249.7,39,58.9
"神奈川県",4.61,87.8,3507,51.5,43.2,12.6,194,749.8,57.5,92.85,17.5,71.5,31.25,55.36,9,195,90.5,4.4,89.15,10.1,1143.4,47,52.7
"新潟県",5.4,95.7,1847,76.9,28.9,9.8,164,542.9,78.9,80.93,10.1,39.4,57.29,60.99,12.5,348,84.5,7.4,39.6,6.9,1228.6,25,19.2
"富山県",4.15,96.7,1874,79.8,17,6.2,281,688.2,62.4,85.53,13,48.8,64.46,68.9,13.9,401,80.5,11.9,51.5,13.9,972.8,28,34.6
"石川県",3.85,95.6,2041,69.9,28.3,9.3,190,736.9,56.9,55.78,14.3,49.8,59.17,55.26,13.2,293,84,10.2,51.6,6.8,1434.9,26,23.5
"福井県",4.61,95.7,1640,76.5,31,6,184,555.4,64.6,81.53,11.7,49.8,54.63,63.05,12.1,328,82.5,12.8,54,14,1005.6,25,25.9
"山梨県",3.82,93.7,2123,69.6,37.2,12.4,188,729.4,79.1,85.2,8.6,45,46.52,76.25,11.4,340,77,7.4,36,12.2,1005.1,25,27
"長野県",6.42,95.7,1881,72.9,49.4,8.5,145,606,82.9,76.39,6,39.5,55.82,74.38,12.5,352,77.1,8.4,50,17,963.3,27,12.9
"岐阜県",5.13,95.4,1761,73.9,46.7,5.5,225,591,84.4,79.65,8.5,42.4,54.97,70.72,12.3,293,77.2,6.8,47.2,15.3,1028.3,29,18.2
"静岡県",4.15,92.6,2155,65.9,32.6,11.5,155,814,81.7,85.85,9.5,52,41.8,65.51,10.4,269,84.5,5.3,42.5,13.3,1038.7,28,24.2
"愛知県",3.9,91.4,2125,57.8,60.5,6.2,279,648.6,78.7,83.23,15.1,56.7,44.82,61.23,10.8,275,80.1,7.3,59.3,11.6,1068.3,32,31.1
"三重県",4.31,96,1620,77.8,46.5,6.5,161,558.6,80.9,67.79,7.7,42.3,52.3,66.61,12,297,77.1,6.7,32.1,10,1235.5,30,19
"滋賀県",4.89,95.9,1677,76.5,53.2,8.4,211,609.7,81.4,76.57,13.3,43.6,54.68,63.08,12,296,77.6,10.6,61.3,12.6,1034.5,33,26.2
"京都府",4.68,88.8,2659,58.1,51.5,12.1,224,674.6,46.5,84.55,11.7,78,35.23,50.95,10.2,188,91,5,76.99,3.9,1250.5,33,32.5
"大阪府",5.13,85.2,2750,47.9,48.2,9.6,386,627.2,73.3,91.16,22.4,83,30.1,45.91,8.9,159,90.8,4.8,79.31,5.6,1413.6,41,72.1
"兵庫県",4.36,90.8,2514,59.8,46,6.1,206,670,71.8,51.59,12.5,67.5,40.67,55.91,10.2,220,87.4,9.2,79.95,7.6,2466.5,36,33
"奈良県",5.18,93.5,2043,70,47.9,6.5,171,537,73.3,85.53,8.4,48.5,46.78,62.63,11.2,253,81.7,10,56,16.4,995.9,41,28.4
"和歌山県",6.55,93,1673,72.8,32.9,7.5,175,735.7,73.9,79.7,6.1,52.3,40.65,64.57,10.7,219,76.6,4.5,17.7,8.5,1135.5,26,49.6
"鳥取県",3.73,94.3,1730,73.8,21.8,11.7,256,450.3,88.5,83.83,14.8,47.8,49,62.03,11.6,329,85.4,10.1,39.5,6.4,1121.9,25,31
"島根県",5.35,95.2,1489,76.2,23.6,7.9,151,371.1,86.5,69.92,7.1,40.2,49.22,64.8,11.5,300,74.7,13.6,28.5,10.5,972.8,21,16.5
"岡山県",4.57,93.1,1822,66.7,39.1,5.1,187,628.7,85.2,79.91,6.1,44.5,46.15,68.75,11.3,273,76.5,9.5,47.3,11.6,1056.3,27,16.6
"広島県",4.94,94.3,2047,60.4,35,8.3,228,633.5,78.8,76.1,11.2,57.1,46.31,62.11,11.3,227,83,8.6,57.51,10.9,992.8,28,29.8
"山口県",4.83,94.9,1562,66.4,33,7.7,154,605.9,69.1,75.99,14,50.7,46.59,68.79,11.4,282,77.2,9,50.5,7.6,1163.4,24,26.8
"徳島県",7.39,94.3,1642,70.1,43,5.9,116,720.2,84.2,77.56,5,58.7,47.27,69.28,11.4,299,82,5.9,18.6,10.6,1001.5,25,19.7
"香川県",4.92,95.3,1786,70.5,36.1,7.8,186,669.6,81.2,73.83,11.1,51.1,50.82,67.69,11.9,290,75,8.4,34,8.7,1036.2,25,24.6
"愛媛県",6.04,95.1,1639,66.7,55.9,10.3,223,707.4,73.5,79.26,8.2,53.1,45.62,67.39,11.2,237,77.6,9,36.8,7.6,1073.1,21,18.8
"高知県",6.58,91.9,1684,67.3,50.5,8,173,676,76.4,77.46,9.1,47.5,39.98,68.24,10.7,192,85.1,13.1,24.7,7.9,991.8,24,19.7
"福岡県",4.77,91.3,1908,53.4,37.3,10,322,918.9,74.1,84.66,13.3,61.8,39.2,59.98,10.1,288,83.5,7.9,67.09,8.5,1135.3,31,15
