key,USA,China,India,Russia,Saudi Arabia,France,Germany,UK,Japan,South Korea
2000,320.09 ,22.93 ,14.29 ,9.23 ,19.96 ,28.40 ,26.92 ,35.25 ,45.51 ,13.80 
2001,331.81 ,27.88 ,14.60 ,11.68 ,21.03 ,27.95 ,26.23 ,35.33 ,40.76 ,12.94 
2002,378.46 ,32.14 ,14.75 ,13.94 ,18.50 ,30.58 ,28.06 ,39.66 ,39.33 ,14.10 
2003,440.53 ,35.13 ,16.33 ,16.97 ,18.75 ,38.57 ,33.53 ,46.94 ,42.49 ,15.85 
2004,493.00 ,40.35 ,20.24 ,20.96 ,20.91 ,44.52 ,36.35 ,53.97 ,45.34 ,17.83 
2005,533.20 ,45.92 ,23.07 ,27.34 ,25.39 ,44.44 ,36.40 ,55.15 ,44.30 ,22.16 
2006,558.34 ,55.34 ,23.95 ,34.52 ,29.58 ,45.79 ,36.43 ,57.48 ,41.55 ,25.18 
2007,589.59 ,68.01 ,28.25 ,43.53 ,35.47 ,50.68 ,41.12 ,65.99 ,40.53 ,27.73 
2008,656.76 ,86.36 ,33.00 ,56.18 ,38.22 ,55.37 ,46.46 ,65.62 ,46.36 ,26.07 
2009,705.92 ,105.64 ,38.72 ,51.53 ,41.27 ,56.44 ,46.12 ,57.91 ,51.47 ,24.58 
2010,738.01 ,115.71 ,46.09 ,58.72 ,45.24 ,52.04 ,44.85 ,58.08 ,54.66 ,28.18 
2011,752.29 ,137.97 ,49.63 ,70.24 ,48.53 ,54.12 ,46.77 ,60.27 ,60.76 ,30.99 
2012,725.21 ,157.39 ,47.22 ,81.47 ,56.50 ,50.22 ,44.47 ,58.50 ,60.01 ,31.95 
2013,679.23 ,179.88 ,47.40 ,88.35 ,67.02 ,52.00 ,44.87 ,56.86 ,49.02 ,34.31 
2014,647.79 ,200.77 ,50.91 ,84.70 ,80.76 ,53.13 ,44.22 ,59.18 ,46.90 ,37.55 
2015,633.83 ,214.47 ,51.30 ,66.42 ,87.19 ,45.65 ,37.02 ,53.86 ,42.11 ,36.57 
2016,639.86 ,216.40 ,56.64 ,69.25 ,63.67 ,47.37 ,39.72 ,48.12 ,46.47 ,36.89 
2017,646.75 ,228.47 ,64.56 ,66.53 ,70.40 ,49.20 ,42.37 ,46.43 ,45.39 ,39.17 
2018,682.49 ,253.49 ,66.26 ,61.39 ,74.40 ,51.41 ,46.51 ,49.89 ,46.62 ,43.07 
2019,731.75 ,261.08 ,71.12 ,65.10 ,61.87 ,50.12 ,49.28 ,48.65 ,47.61 ,43.89 
