datetime,values
2016-04-01 00:00:00,2555
2016-04-01 01:00:00,2433
2016-04-01 02:00:00,2393
2016-04-01 03:00:00,2375
2016-04-01 04:00:00,2390
2016-04-01 05:00:00,2467
2016-04-01 06:00:00,2631
2016-04-01 07:00:00,2775
2016-04-01 08:00:00,2965
2016-04-01 09:00:00,3159
2016-04-01 10:00:00,3211
2016-04-01 11:00:00,3265
2016-04-01 12:00:00,3160
2016-04-01 13:00:00,3288
2016-04-01 14:00:00,3361
2016-04-01 15:00:00,3362
2016-04-01 16:00:00,3406
2016-04-01 17:00:00,3438
2016-04-01 18:00:00,3501
2016-04-01 19:00:00,3381
2016-04-01 20:00:00,3242
2016-04-01 21:00:00,3084
2016-04-01 22:00:00,2973
2016-04-01 23:00:00,2811
2016-04-02 00:00:00,2613
2016-04-02 01:00:00,2492
2016-04-02 02:00:00,2431
2016-04-02 03:00:00,2403
2016-04-02 04:00:00,2390
2016-04-02 05:00:00,2432
2016-04-02 06:00:00,2543
2016-04-02 07:00:00,2734
2016-04-02 08:00:00,3019
2016-04-02 09:00:00,3225
2016-04-02 10:00:00,3258
2016-04-02 11:00:00,3239
2016-04-02 12:00:00,3167
2016-04-02 13:00:00,3112
2016-04-02 14:00:00,3049
2016-04-02 15:00:00,3043
2016-04-02 16:00:00,3098
2016-04-02 17:00:00,3216
2016-04-02 18:00:00,3328
2016-04-02 19:00:00,3276
2016-04-02 20:00:00,3173
2016-04-02 21:00:00,3007
2016-04-02 22:00:00,2856
2016-04-02 23:00:00,2674
2016-04-03 00:00:00,2455
2016-04-03 01:00:00,2325
2016-04-03 02:00:00,2280
2016-04-03 03:00:00,2265
2016-04-03 04:00:00,2253
2016-04-03 05:00:00,2276
2016-04-03 06:00:00,2330
2016-04-03 07:00:00,2493
2016-04-03 08:00:00,2700
2016-04-03 09:00:00,2832
2016-04-03 10:00:00,2835
2016-04-03 11:00:00,2833
2016-04-03 12:00:00,2820
2016-04-03 13:00:00,2738
2016-04-03 14:00:00,2694
2016-04-03 15:00:00,2684
2016-04-03 16:00:00,2755
2016-04-03 17:00:00,2920
2016-04-03 18:00:00,3132
2016-04-03 19:00:00,3114
2016-04-03 20:00:00,3020
2016-04-03 21:00:00,2860
2016-04-03 22:00:00,2690
2016-04-03 23:00:00,2494
2016-04-04 00:00:00,2304
2016-04-04 01:00:00,2206
2016-04-04 02:00:00,2179
2016-04-04 03:00:00,2189
2016-04-04 04:00:00,2216
2016-04-04 05:00:00,2320
2016-04-04 06:00:00,2528
2016-04-04 07:00:00,2835
2016-04-04 08:00:00,3168
2016-04-04 09:00:00,3418
2016-04-04 10:00:00,3480
2016-04-04 11:00:00,3422
2016-04-04 12:00:00,3200
2016-04-04 13:00:00,3323
2016-04-04 14:00:00,3322
2016-04-04 15:00:00,3312
2016-04-04 16:00:00,3349
2016-04-04 17:00:00,3346
2016-04-04 18:00:00,3436
2016-04-04 19:00:00,3337
2016-04-04 20:00:00,3213
2016-04-04 21:00:00,3067
2016-04-04 22:00:00,2982
2016-04-04 23:00:00,2797
2016-04-05 00:00:00,2551
2016-04-05 01:00:00,2427
2016-04-05 02:00:00,2392
2016-04-05 03:00:00,2380
2016-04-05 04:00:00,2415
2016-04-05 05:00:00,2524
2016-04-05 06:00:00,2767
2016-04-05 07:00:00,3056
2016-04-05 08:00:00,3400
2016-04-05 09:00:00,3678
2016-04-05 10:00:00,3747
2016-04-05 11:00:00,3727
2016-04-05 12:00:00,3532
2016-04-05 13:00:00,3670
2016-04-05 14:00:00,3640
2016-04-05 15:00:00,3589
2016-04-05 16:00:00,3579
2016-04-05 17:00:00,3579
2016-04-05 18:00:00,3664
2016-04-05 19:00:00,3559
2016-04-05 20:00:00,3414
2016-04-05 21:00:00,3234
2016-04-05 22:00:00,3135
2016-04-05 23:00:00,2913
2016-04-06 00:00:00,2634
2016-04-06 01:00:00,2496
2016-04-06 02:00:00,2451
2016-04-06 03:00:00,2440
2016-04-06 04:00:00,2478
2016-04-06 05:00:00,2593
2016-04-06 06:00:00,2787
2016-04-06 07:00:00,2955
2016-04-06 08:00:00,3143
2016-04-06 09:00:00,3301
2016-04-06 10:00:00,3304
2016-04-06 11:00:00,3276
2016-04-06 12:00:00,3106
2016-04-06 13:00:00,3216
2016-04-06 14:00:00,3282
2016-04-06 15:00:00,3258
2016-04-06 16:00:00,3270
2016-04-06 17:00:00,3262
2016-04-06 18:00:00,3392
2016-04-06 19:00:00,3319
2016-04-06 20:00:00,3206
2016-04-06 21:00:00,3055
2016-04-06 22:00:00,2948
2016-04-06 23:00:00,2746
2016-04-07 00:00:00,2512
2016-04-07 01:00:00,2387
2016-04-07 02:00:00,2349
2016-04-07 03:00:00,2344
2016-04-07 04:00:00,2367
2016-04-07 05:00:00,2462
2016-04-07 06:00:00,2695
2016-04-07 07:00:00,3010
2016-04-07 08:00:00,3362
2016-04-07 09:00:00,3656
2016-04-07 10:00:00,3764
2016-04-07 11:00:00,3788
2016-04-07 12:00:00,3629
2016-04-07 13:00:00,3740
2016-04-07 14:00:00,3717
2016-04-07 15:00:00,3656
2016-04-07 16:00:00,3654
2016-04-07 17:00:00,3605
2016-04-07 18:00:00,3637
2016-04-07 19:00:00,3498
2016-04-07 20:00:00,3334
2016-04-07 21:00:00,3161
2016-04-07 22:00:00,3008
2016-04-07 23:00:00,2790
2016-04-08 00:00:00,2557
2016-04-08 01:00:00,2440
2016-04-08 02:00:00,2403
2016-04-08 03:00:00,2389
2016-04-08 04:00:00,2418
2016-04-08 05:00:00,2488
2016-04-08 06:00:00,2652
2016-04-08 07:00:00,2828
2016-04-08 08:00:00,3070
2016-04-08 09:00:00,3270
2016-04-08 10:00:00,3340
