マニフェストID,登録日時,更新日時,x-axis,y-axis,マニフェスト種別,政治家名,政治家名カナ表記,対象の都道府県,対象の市区町村または都道府県,対象の選挙区,政治家を志した理由,地域のありたい姿,解決したい課題,重要政策1政策分野1,重要政策1政策分野2,重要政策1政策分野3,解決するための重要政策1説明,重要政策2政策分野1,重要政策2政策分野2,重要政策2政策分野3,解決するための重要政策2説明,重要政策3政策分野1,重要政策3政策分野2,重要政策3政策分野3,解決するための重要政策3説明,政策分野注力度1社会保障,政策分野注力度2産業政策,政策分野注力度3社会資本整備,政策分野注力度4教育・子育て,政策分野注力度5農林漁業,政策分野注力度6税財政・財政再建,政策分野注力度7労働,政策分野注力度8環境・エネルギー,政策分野注力度9行政・議会改革,政策分野注力度10安全・防災・震災復興,検証,オープンデータ化（報道等の利活用）に関する許諾,政策の詳細へのURL
129,2015年4月9日 10時11分20秒,,-56.9,6.2,市議会議員マニフェスト,添田勝,ソエダマサル,神奈川県,川崎市,宮前区,介護現場時代に、介護保険制度に疑問を感じた。現制度は高齢者の介護状態を悪くすると報酬が増え、反対に改善すると報酬が減る。つまり、高齢者を元気にしようと努力して介護するヘルパーほど、報酬が減り低賃金になる構造。それを逆にし、真面目に努力する現場が報われる仕組みを作ろうと考えたため。,高齢者が生涯現役で、地域の主役として活躍する地域。元気高齢者が地域の担い手になり、地域皆で子供を育む、「多世代交流」の街を創りたい。それが高齢者にとっては生きがいとなり、子供にとっては優しい心を育むことに繋がると思う。,①超高齢化による医療介護費用の問題　②少子化問題,介護支援,,,逆・介護保険。今の介護保険を逆にし「高齢者の介護状態を改善する介護に成果報酬付与」。それを通じ、健康志向介護を広め健康寿命を伸ばし、破たんしない介護財政を創る。健康志向介護を評価する仕組みで、介護現場のやる気を引き出し、そして、家族の介護負担軽減につなげる。,医療政策,子育て支援,教育政策,小児医療費無料化拡大と中学校給食導入により、子供を産み育てやすい環境を構築する。共働き世帯や専業主婦の方も含め、医療費助成による子育ての安心感と、給食導入で子育ての物的負担を軽減する。その代り、親が子供達のしつけや道徳心を高められるよう、物的負担を減らす代わりに、心的教育に力を注げる環境を創る。,,,,,20,15,10,20,5,15,10,5,0,0,検証する,許可する,http://soedamasaru.jp/seisaku/index.html
119,2015年4月3日 14時35分19秒,,-55.0,-57.0,市議会議員マニフェスト,ゆば　和敏,ユバ　カズトシ,神奈川県,川崎市,川崎市川崎区,町内会の代表を通じて市政にふれ、自分でできることを始めたいと思い政治家を目指しました。また、市政のなかでサラリーマン目線で見たときに改革できることを目にすることが増え一個でも変えることができればと思います。自分が出ることで、政治に関心を持つ人が一人でも増え、投票率が少しでも上がることを望みます。,子供が活発でまっすぐに育つことができる地域であり、間違いは間違いとして罰せられ、正しいことを正しいと言える地域であってほしいと思います。まじめに生きることが損をするという社会は絶対間違っている。正しいことをしたら褒められ、間違ったことをしたら叱られるということが普通である地域にしたい,小学校、中学校の給食費を「０」生活保護費の不正受給を「０」公務員の不正を「０」保育園を増設し、待機児童を「０」政務活動費の不正利用を「０」,子育て支援,行政改革,若者の政治参加,給食費の無償化をすることは教職員の業務軽減に繋がります。そうすることで教職員が生徒との触れあうためが増えます。給食費問題はいじめの原因のひとつとなりえることです。まずは一個ずつ原因を取り除いていきたいです。,,,,,,,,,0,0,0,80,0,10,0,0,10,0,検証する,許可する,
100,2015年4月2日 12時39分07秒,,-26.3,9.1,市議会議員マニフェスト,大庭裕子,オオバユウコ,神奈川県,川崎市,中原区,一人ひとりが大切にされる子育てや教育の政策を掲げる日本共産党に出会い入党して32年。日本共産党が不屈に「反戦平和」「国民が主人公」を貫き、最も清潔な党であることを身を持って感じてきました。その党から要請を受け、市会議員として市民の暮らしを何よりも大事にする立場で政治を動かしていきたいと志しました。,国が進める消費税増税や年金の引き下げ、医療費の窓口負担、介護保険料の引き上げなど社会保障費削減などによる「生活が苦しい」との声に応えていく。格差や貧困が広げる国の悪政の防波堤となって福祉暮らし最優先の市政に切り替え、子育てがしやすく、お年寄りや障がい者が大切にされていると実感できるまちづくり。,「財政がきびしい」と言って市民サービスを削減することをキッパリとやめさせる。お金がないのではなくお金の使い方が間違っていることをハッキリとさせ、船の来ない港づくりや巨大は橋2本の建設など1400億円もかけた必要であることの説明もつかない不要不急の大規模開発こそ税金の無駄使いであることから解決させたい。,医療政策,子育て支援,教育政策,子育て応援、安心して子育てできる川崎へ－かつて「子育てするなら川崎」でと呼ばれたように子育てしやすい市政に切り替えていく。①中学校卒業まで所得制限をなくしての医療費無料化②認可保育園の緊急増設③幼稚園保育料補助の増額④小中全学年の少人数学級の拡大⑤中学校給食の自校調理方式の学校を増やす,医療政策,介護支援,,相次ぐ増税、公的年向上の縮小、老年者控除の廃止に加え、年金の引き下げ、医療費の負担に苦しむ高齢者の暮らしを守る。①特別養護老人ホームを増設し待機者解消をはかる②介護施設の人材確保と処遇改善③介護保険料の引き下げ、保険料・利用料の減免の拡充④介護保険対象外の事業の施策の充実など。,雇用創出,,,働く人の賃金低下と労働条件の悪化に歯止めをかけ、働くルールを守る施策で安定したやりがいのある仕事を求める。①若者をはじめ働く人間を使いつぶすブラック企業対策を強め正規雇用の拡大をはかる②市内大企業に対して雇用や地域経済への社会的責任を果たさせる③労働相談窓口の充実④福祉・教育・消防の分野の雇用の拡充,15,9,7,15,7,7,15,8,8,9,検証する,許可する,
99,2015年4月2日 12時35分48秒,,-26.2,2.3,市議会議員マニフェスト,石田和子,イシダカズコ,神奈川県,川崎市,高津区,児童福祉の現場で82余年働き、保育所では、人格の基礎が育まれる最も大切な乳幼児期を健やかに成長してほしいと願う仲間や父母とともに、保育内容の向上、施設・環境の改善、労働条件の改善に力を合わせました。国が最低基準の緩和を次々うちだし、待機児童が増える中で保育行政を充実させたいと思いめざす。,子どもたちが戸外で元気に安全に遊べる地域、高齢者や障害のある方も安心してくらせる地域でありたい。地域のコミュニティーが必要です。地域の自然、歴史、文化・伝統、まつりが大切にされ、大人になってもふるさとを持つ事が出来る。子どもたちに語り継がれていく事が出来る地域。地域の商店街が活気づくまちでありたい。,保育所の待機児童の解消策。通院にかかる小児医療費助成が県内ワースト1位の年齢拡充。小学1、2年生にとどまっている35人学級の学年の拡充。年金削減のもと、介護保険料の引き下げが必要。待機者5300人以上にものぼる特養ホームの待機者解消。介護現場の人材確保、処遇改善策等、子育て支援、教育、福祉のおくれをとり戻す,医療政策,子育て支援,教育政策,小児医療費助成制度の通院対象を中学校卒業まで所得制限なしで実施。希望者全員入れるよう、園庭で元気なこどもが遊べる保育所を緊急増設。幼稚園の保育料補助の増額と入園料補助の創設。当面、小学3年生と中学1年生を、さらに小中全学年で35人以下学級を進める。安全、安心、あたたかい、食育充実の中学校給食の実現。,介護支援,地域コミュニティづくり,,介護保険料の引き下げ、保険料・利用料の減免の拡充。特養ホームを増設し待機者を解消し、比較的低料金の多床室も増やすとともにホテルコスト、食事代補助を行い、国民年金受給者など低所得の人も入所できるようにする。事業所の運営費補助、人材確保と処遇改善に市の支援策を拡充する。低所得1.2の障害者の医療費無料化。,中小企業政策,子育て支援,教育政策,"不要不急の大規模開発を中止・削減させ、予算は自治体本来の使命である福祉・くらしの充実を最優先に使わせる。東扇島川崎南コンテナターミナルの大拡張計画、東扇島～水江町にかける巨大な橋の建設等に合計1,400億円の無駄づかいをストップさせ子育て支援、教育と福祉の充実、中小企業支援策を充実させる。",20,10,5,20,5,10,5,10,10,5,検証する,許可する,
98,2015年4月2日 12時32分38秒,,-24.2,8.7,市議会議員マニフェスト,石川建二,イシカワケンジ,神奈川県,川崎市,宮前区,青春時代にベトナム戦争があり悲惨な現状を見聞きしました。国民に悲しみを押し付ける政治を許せませんでした。大学時代に大学生協の運動に参加し、平和運動・消費者運動を通して、誰にでも、平和で幸せに生きる権利があることを学びました。議員として、みなさんの幸せに生きることに少しでも貢献ができればと思いました。,高齢者も障がい者も誰もが、長く住み続けられる街にしたい。子育てや介護を行う施設が近所にあり、買い物も近くでできる、病院や公共施設に行くのに、バスなど交通網の整備されている、そんな街が住みよい街の条件だと思う。また、緑のある環境も大切。市民の憩いの場として、里山の緑を守り、公園を増やしていきたい。,◎交通不便地域の解消。区役所や病院へのバス便の改善。高齢者・障がい者などの移動支援の充実。◎子育て支援（私立幼稚園保育料補助の増額、認可保育園の増設、自主学童保育への支援など）◎高齢者支援（特養ホームの充実、在宅介護サービスの充実など）◎地域作業所・グループホームなど障がい者の生活の場への支援ほか,医療政策,子育て支援,,中学卒業まで小児医療費助成を所得制限なしで実施する。県下33の自治体のうち11自治体では中学卒業まで、15自治体では小学校6年生まで。川崎市は小学校2年生までは、県下最低。政令市でトップの財政力を市民本位に使えば十分に可能。,道路網整備,その他,,交通不便地域の解消。区役所・聖マリアンナ病院・井田病院への交通の便を良くする。南野川地域、有馬・東有馬地域、白幡・初山地域をはじめ、高山団地など山坂の多い地域でのミニバスの支援（南野川）と実施。,鉄道整備,環境保全・保護,その他,リニア新幹線の着工に反対し、地域を工事公害から守る。梶ヶ谷操車場、犬蔵、潮見台地域に直径30メートルの巨大な立杭が掘られ、土砂の搬出などが行われます。工事は10年に及び、地域への影響は深刻です。リニア新幹線は、通常新幹線の3倍の電力を使い、環境破壊も指摘をされており、事業そのものに反対。,10,10,10,15,10,5,10,10,10,10,検証する,許可する,
97,2015年4月2日 12時28分45秒,,-24.3,2.1,市議会議員マニフェスト,斉藤隆司,サイトウタカシ,神奈川県,川崎市,多摩区,高校生の頃は大学紛争とベトナム戦争反対で、誰もが政治に関心を持った時代でした。どうして人が人を傷つけ合う戦争が行われるのだろう。なぜ戦争は始まるのか。疑問が次々生まれました。戦争も暴力もない社会をつくってゆく活動の中で日本共産党を知り議員をめざしました。,70年代前後から、緑を残そう、清流を取り戻そうと大きな市民運動が盛り上がり、川崎市政を転換するほどの力になっていきました。やはり多摩区は水と緑です。緑と農業を守る多摩区にしていきたい。,当選して以来、議会で質問を重ねてきた登戸区画整理事業。登戸は道路が狭くて救急車や消防車が入れない、下水が整備されてなくて不衛生など、街づくりの課題の解決が求められていました。住民の納得と合意をつくる時間をかけながら、元気な商店街をつくっていきたい。,医療政策,子育て支援,教育政策,こどもの医療費を所得制限なしで中学生まで無料に、認可保育園の増設、私立幼稚園保育料補助増額、35人学級の拡大、教育費の負担軽減など子育て支援教育の充実。,介護支援,,,国保料、介護保険料の引き下げ、稲田登戸病院跡の国有地に特養ホーム建設など、社会保障・福祉政策の充実。,景気対策,住宅政策,,住宅リフォーム助成やプレミアム付商品券へのプレミアム分補助で地域経済の活性化を。,20,10,5,20,5,10,5,10,10,5,検証する,許可する,
96,2015年4月2日 12時26分47秒,,-21.1,11.9,市議会議員マニフェスト,井口真美,イグチマミ,神奈川県,川崎市,多摩区,8年間日本共産党国会議員の秘書をしていました。党の国会議員の活動をサポートする中で、国民の願いを道理を持って議会に届ければ、願いが実現していく。政治は変わるということを目の当たりにし、自らも市民の切実な願いを議会にまっすぐ届け実現する仕事をしたいと思いました。,地域の中で温かいつながりがあって、何かあれば助け合える関係ができている、そんな地域を作りたいと思いますが、それに乗じて公的な責任を後退させてはなりません。行政が公的責任を明確にし市民の生活の下支えをした上での、創意あふれる、暮らしやすいまちづくりを市民自身ができるコミュニティをめざしたいと思います。,市民が困っている問題の多くは国の政治が悪いことが根本問題です。その転換が求められますが、地方政治は国の悪政から市民を守るために予算をつけて、必要な制度を作るべきです。川崎市は財政力は政令都市トップの力があり、介護、教育、子育て、福祉、雇用、中小企業の経営など多くの課題の解決は可能だと考えます。,医療政策,介護支援,子育て支援,市民の福祉と暮らしを守る政策を展開します。子どもたちの医療費は中3まで所得制限なしで無料に。認可保育園の増設、私立幼稚園の保育料補助の増額。小中学校の小人数学級。特養ホームの緊急増設と介護保険料の値上げを抑える。障がい者施設の助成金廃止をやめるなど。商店街や中小企業の振興。条例案も提案します。,財政再建,その他,,京浜臨海部ライフイノベーション国際戦略総合特区の指定や国際戦略港湾政策により、莫大な税金が新たなムダづかいとして投入されています。市民に説明のつかない540億円の橋の建設などが進められています。これらをやめ、市民の福祉と暮らしに振り向けます。議会の権限である予算の組み替え動議も提出します。,防災対策,,,震災対策を抜本的に強めます。木造住宅の耐震補強をもっと使いやすく予算を増やすべきです。市民の飲料水確保のために、生田浄水場の存続を求めます。震災時、多摩区の地下水は貴重な自己水源となり、その水を処理する生田浄水場は市民の飲料水確保のかなめになります。,10,10,10,10,10,10,10,10,10,10,検証する,許可する,
95,2015年4月2日 12時24分27秒,,-22.8,5.1,市議会議員マニフェスト,勝又光江,カツマタミツエ,神奈川県,川崎市,麻生区,高校3年のときに先輩に誘われて民主青年同盟に加盟し、社会の動きや歴史について勉強しました。その中で日本共産党は戦前、戦中に命をかけて戦争に反対し人間が人間らしく生きる社会を創るために活動していることを知り入党しました。そのときに政治家になろうとしたわけではありませんが、活動を通じて議員になりました。,子どもからお年寄りまで安心して生活できる地域社会でなければなりません。具体的には教育・雇用・福祉の充実を図ります。そしてなにより平和でなければいけません。憲法が輝く社会を築いていきたいと思っています。緑豊かで心ふれあう麻生区が私の願いです。,“船の来ない港”の大開発、“1メートル1億円”の高速縦貫道路をはじめとする不要、不急の大開発をやめて、子育て・教育・福祉の充実に全力をあげます。,医療政策,子育て支援,,「小児医療費助成の拡充」現在川崎市は小学校1年生まで子どもの医療費が無料ですが（こんど2年生までになる）、となりの東京都のように中学校卒業まで拡大し、それも所得制限なしで実施する。,子育て支援,,,「認可保育園の増設と私立幼稚園の保育料・入園料の補助」子どもを保育園に入れたくても入れない、いわゆる待機児童が増えるばかりです。保育園の増設が必要です。川崎市の私立幼稚園の入園料と保育料は政令市の中でも一番高いといわれています。市の補助がどうしても必要です。,介護支援,,,「介護保険料の引き下げと特別養護老人ホームの増設」介護保険料が高すぎるという声がたくさん寄せられます。現在川崎市では、特別養護老人ホームの入所待ちが5000人を超えています。増設のために力を尽くしていきます。,20,10,5,20,5,5,10,10,5,10,検証する,許可する,
94,2015年4月2日 12時20分54秒,,-21.9,4.8,市議会議員マニフェスト,宗田裕之,ムネタヒロユキ,神奈川県,川崎市,高津区,「戦争反対を貫く人に」と日本共産党に入党。ITのSEの仕事で長時間労働の中で仲間が体をこわしていく。市政でも多くの相談を受け政治を変えなければと候補者に。,この間100件以上もの相談を受けてきたが、市民の要望を受けて市政に届ける議員がほとんどいない。市民の声が届く市政に。市の予算も臨海部の大型開発中心、もっと市民のために福祉くらしを最優先にする市政・まちづくりを。,「認可保育園に入れなかった」「子どもの医療費が大変」「特養ホームに入れない」など多くの要望を受けてきた。一方で臨海部では船が来ない港の増設などムダな大型開発を推進、税金の使い方がまちがっている。もっと福祉・くらし優先の市政を。,医療政策,子育て支援,,東京ではあたり前の「中学校まで医療費無料化」を所得制限なくして実現。財源は臨海部のムダな大型開発を中止して36億円で実現。,介護支援,子育て支援,,「足りない認可保育園と特養ホーム増設を」毎年認可保育園に入れない子どもたちが2500人以上も出ている。特養ホームは5300人待ち。1年で10ヵ所ずつ建設して4～6年で待機児をなくす。,介護支援,子育て支援,,全国一高い幼稚園の保育料と入園料、高い介護保険料を引き下げ、負担を減らす。,20,10,5,20,5,5,15,5,5,10,検証する,許可する,
93,2015年4月2日 12時17分38秒,,-20.9,4.8,市議会議員マニフェスト,渡辺学,ワタナベマナブ,神奈川県,川崎市,幸区,保育園、学童保育の保護者会、PTA、子ども会で子ども達の発達・成長を願い28年間活動してきました。子ども達や障がい者、若者や高齢者など弱者が生きづらい現在の日本社会は異常です。格差と貧困の拡大は一人一人の人間の尊厳を傷つけています。誰もが安心して暮らせる社会に変えていきたい。,自治体が本来の役割“住民の福祉の向上を図る”を果たし、子育て施策、高齢者施策の充実した地域。地域経済優先の中小零細企業・商店、そこで住み働く人が誰もが安心して暮らし続けることのできる地域。,大企業、大手ゼネコンのための大規模開発を止め、経済的弱者といわれる高齢者・子ども・障がい者が将来の不安なく暮らすことのできる市政への転換。子育て、学校教育施策の充実で子育て世帯が不安なく生活できる市政への転換。,子育て支援,,,【子育て施策の充実】①認可保育園の増設で待機児童解消②所得制限なしで中学校卒業までの医療費無料化の実施③幼稚園・保育園の保育料の軽減④義務教育に係る保護者負担を軽減,医療政策,介護支援,,【高齢者施策の充実】①特別養護老人ホームの増設で待機者解消②高齢者医療費の助成拡充③介護保険料の引き下げ,介護支援,人権擁護・保護,その他,【障がい者施策の充実】①障がい者施設、作業所の増設と公的支援の拡充②グループホームの増設と公的支援の拡充③障がい者視点で不安のない街づくり,20,10,5,20,5,5,10,10,5,10,検証する,許可する,
