町名,ランナー,サイクリスト,スイマー,トライアスリート
関野町１,9454,3859,2289,13521
関野町２,9607,3915,1545,17593
桜町３,4493,2974,2540,12838
貫井北町３,4170,119,619,4980
緑町３,8630,4990,879,14325
緑町４,7127,4086,298,5747
桜町１,9547,2269,2361,19739
梶野町３,9604,3853,907,15799
桜町２,9296,2004,2559,16738
緑町４,903,21,2543,6305
本町４,791,4218,1003,16319
梶野町２,3014,3963,822,606
本町３,4151,3390,1017,4596
梶野町４,3491,1620,2799,5512
貫井北町４,6678,873,1508,13346
貫井北町２,6938,1794,26,13443
本町５,557,4673,1443,9650
貫井北町５,8529,668,2229,18300
本町２,7665,2811,2380,17895
緑町５,515,3180,390,7860
梶野町１,5923,740,2716,17578
梶野町５,258,3295,2064,9498
緑町１,5452,4619,1933,15510
貫井北町１,5536,487,2144,3713
東町３,2276,1409,1961,8011
東町４,6104,4380,611,6682
中町２,26,4308,2623,3695
中町３,3384,3090,633,15527
本町１,4062,457,48,5016
本町６,2373,1805,2785,3408
貫井南町３,719,1776,532,2186
東町２,7305,3825,753,10920
前原町３,3727,1695,2722,3735
中町４,7301,848,1754,11147
貫井南町４,7777,89,2786,245
貫井南町２,3957,4739,2909,8862
中町１,1808,3255,847,12792
東町１,8331,48,919,19350
東町５,3585,2163,2730,10137
貫井南町５,2723,4081,1018,17227
前原町４,5772,1049,1845,17150
前原町２,8770,2198,2552,1199
前原町５,4791,3740,2365,7941
貫井南町１,8401,3479,536,3987
前原町１,6498,3660,2055,10577
