text,topic
介護 現場 時代 介護 保険 制度 疑問 感じ 制度 高齢 介護 状態 悪く する 報酬 増え 反対 改善 する 報酬 減る つまり 高齢 元気 しよ 努力 介護 する ヘルパー ほど 報酬 減り 賃金 なる 構造 それ 真面目 努力 する 現場 報わ れる 仕組み 作ろ 考え ため 高齢 生涯 現役 地域 主役 として 活躍 する 地域 元気 高齢 地域 担い手 なり 地域 子供 育む 世代 交流 創り たい それ 高齢 にとって 生きがい なり 子供 にとって 優しい 育む こと 繋がる 思う 高齢 による 医療 介護 費用 問題 少子化 問題 介護 保険 介護 保険 高齢 介護 状態 改善 する 介護 成果 報酬 付与 それ 通じ 健康 志向 介護 広め 健康 寿命 伸ばし 破たん ない 介護 財政 創る 健康 志向 介護 評価 する 仕組み 介護 現場 やる気 引き出し そして 家族 介護 負担 軽減 つなげる 小児 医療 無料 拡大 中学校 給食 導入 により 子供 産み 育て やすい 環境 構築 する 共働き 世帯 専業 主婦 含め 医療 助成 による 子育て 安心 給食 導入 子育て 物的 負担 軽減 する その 代り 子供 つけ 道徳心 高め られる よう 物的 負担 減らす 代わり 心的 教育 注げる 環境 創る ,22 22 29 22 9 29 22 22 29 29 29 22 38 29 29 29 9 29 29 29 22 22 22 29 22 22 29 29 22 22 22 22 22 29 22 22 22 22 29 22 29 29 29 22 29 29 29 22 22 29 22 29 33 29 29 29 29 29 29 29 29 22 22 29 22 22 29 22 29 22 42 29 22 22 22 22 29 22 22 29 29 29 29 22 29 22 29 22 9 22 9 9 22 22 29 29 22 22 29 42 22 22 29 22 22 22 29 22 22 22 29 22 29 12 29 22 22 22 29 29 29 22 22 29 29 29 22 22 22 22 9 29 9 29 22 22 29 29 22 22 29 22 29 29 29 22 9 22 42 29 29 9 29 29 29 22 22 29 22 29 22 29 29 22 22 22 22 22 29 29 22 22 22 22 22 29 22 29 22
地方 議会 若い 考え まし 同年 どうし 集まる どうしても おれ という 強い 意見 政党 政治 なっ ない 記載 なし 外郭 団体 みなおし 認可 認証 認可 格差 是正 社会 弱者 やさしい づくり 都会 保全 教育 資源 活用 企業 誘致 親孝行 容積 緩和 同居 する 世帯 住宅 容積 緩和 ,29 29 48 29 29 10 16 39 48 10 48 29 29 10 29 29 29 39 10 18 29 10 10 10 10 29 29 10 16 10 29 10 18 16 29 29 29 10 4 10 10 10 29 10 29 10 10
目黒 伝統 政治 後進 地域 です 現職 区長 自殺 契約 課長 逮捕 政務 調査 不正 による 議員 大量 辞職 深刻 財政 危機 など 起こっ まし 政治 信頼 失わ れる 低下 さらに 信頼 失う スパイラル 陥り ます 能動 議会 転換 この 連鎖 脱却 せる ミッション です 他人 こと 地域 こと 関心 寄せ 合える 理想 です 地方 分権 進ん ます さらに 進ん 地域 内分 実践 できる 地域 目指し ます 徹底 行政 チェック はたらく 議会 転換 ひと 優先 ＩＣＴ 推進 行政 監視 情報 公開 拡大 事業 レビュー シート 導入 補助 点検 行政 評価 制度 意識 改革 ゼロ 予算 事業 活用 ネーミングライツ 広告 事業 拡大 議会 改革 定数 見直し 費用 弁償 実費 議会 基本 条例 制定 通じ 改革 方式 反問 導入 通年 議会 検討 議員 評価 制度 子育て 支援 保育園 学童 整備 民間 補助 拡充 病後 保育 夜間 休日 保育 充実 地域 区民 政治 行政 参加 推進 契約 条例 制定 高齢 健康 インセンティブ 生きがい 創出 共生 社会 自殺 対策 ネットワーク 構築 若者 自立 支援 電子 自治体 向け 無線 環境 整備 ペーパー レス 推進 オープン データ 提供 オンライン 行政 手続き 促進 各種 証明 コンビニ 発行 公式 Facebook ページ 議会 ＩＣＴ スマ タブレット 端末 活用 議会 運営 Ustream による 会議 委員 中継 ,20 42 29 40 29 29 27 27 27 42 2 47 27 21 20 29 29 42 47 42 34 34 29 17 29 29 29 9 27 40 29 34 33 34 16 29 19 47 16 29 21 34 29 21 29 47 29 29 29 47 9 14 16 29 29 20 2 29 29 24 29 47 40 29 29 29 29 34 29 16 17 29 16 33 15 17 29 29 34 27 29 9 17 16 33 29 9 7 29 27 29 29 21 20 18 42 29 34 27 34 2 27 21 29 24 9 21 16 47 29 15 16 7 21 47 9 29 33 29 7 47 27 21 29 29 9 34 29 17 9 9 16 27 42 27 9 9 29 27 29 29 19 33 31 16 16 29 29 47 29 7 20 29 27 47 16 29 29 29 29 5 29 29 20 29 29 47 42 29 27 7 29 27 29 7 16 33 16 47 28 27 2 47 24 27 34 27 47 33 47 24 21 29 47 24 15
挑戦 する なら 自分 政治 原点 ある 吹田 一緒 活動 仲間 共に やり たい 考え 市政 課題 その 府政 反映 さらに パイプ役 なる 府政 挑戦 しよ 決め まし 政策 思い 市議 変わっ ませ 日本 若者 意識 変える こと 挑戦 続け ます 未来 安全 安心 土台 つくり 吹田 価値 高める 府政 政治 から こそ 現在 ある 課題 もちろん こと 顕在 ない 課題 取り組み 未来 危機 備え いき ます 大阪 全体 特に 吹田 ブランド 価値 向上 推進 住民 満足 幸福 一つ 一つ 高め いき ます 自立 自分 考え 行動 する 住む 地域 作り たい です そして アメリカ 中国 といった 大国 思惑 のせ られ 公正 もっ 我々 こう 考え 行動 する 模範 示せる よう それ 構成 する 地域 あっ 欲しい 考え ます 教育 子育て 地域 担う 人材 育成 歴史 地域 誇り 持ち グローバル 対応 自立 できる 人材 育成 学力 だけ なく 社会 生き抜く こと できる 生活 つけ られる キャリア 教育 職業 教育 充実 年間 4000 中高生 短期 留学 学校 地域 経験 共有 せる グローバル 教育 カリキュラム 強化 安心 安全 医療 福祉 防犯 防災 未来 そなえる 未来 危機 想定 それ 乗り越え られる かな 地域 づくり 年中 無休 時間 診察 可能 小児 救急 救急 対応 できる 医療 体制 強化 独居 高齢 家庭 など 買い物 支援 向け 民間 連携 購買 環境 充実 促進 地方 自立 地域 世代 政府 頼ら 自分 たち 稼ぎ 自分 たち 運営 する 自治 都市 大阪 復興 現状 大阪 大阪 体制 維持 領域 ごと 連携 プロジェクト 検討 実施 複数 年度 予算 制度 検討 など 持続 可能 高い 仕組み づくり ,39 29 44 39 29 39 29 39 39 29 39 29 29 29 29 29 29 29 39 47 29 39 29 39 39 39 35 29 29 29 39 39 29 29 29 29 29 29 39 29 29 29 29 29 47 29 39 39 39 39 29 29 29 29 29 29 39 29 39 29 29 29 29 39 39 29 29 39 29 29 39 29 39 29 29 29 39 39 29 29 42 29 29 29 29 29 39 29 29 29 29 29 29 29 39 39 39 39 29 44 29 39 29 39 39 29 39 29 44 39 29 39 44 29 29 29 39 29 29 29 29 29 29 39 29 29 39 39 39 39 29 29 29 39 29 29 29 29 29 39 29 29 29 39 29 29 29 29 29 29 29 41 39 39 29 29 29 29 39 29 39 29 41 29 29 29 29 29 39 29 29 39 29 39 29 39 39 29 35 29 29 44 39 39 39 29 39 39 39 39 29 29 29 29 44 29 29 29 39 29 29 29 29 39 29 39 29 29 39 29 29 39 29 39 29 39 39 29 39 29 29 12 39 47 29 39 39 29 29 12 29 29 39 35 29 39 39 29 29 39 29 29 29 39 29 29
戸田 市議会 議員 として 年間 務め させ いただく なか 多く 出逢い あり まし 文化 芸術 スポーツ はじめ 環境 団体 など 活動 通し まち づくり づくり づくり ある こと 確信 まし この 経験 政治 理念 活動 県政 広げ 県民 一人ひとり キラリ 輝く ステージ つくり ます 埼玉 ステージ まち ステージ 住民 キャスト まち づくり づくり 人材 育成 そそぎ ます 衣食住 環境 整っ ストレス 埼玉 時間 医療 制度 確保 総合 医療 養成 医療 福祉 連携 深める 人材 育成 強化 健康 寿命 延伸 向け 食生活 改善 毎日 筋力 アップ 口腔 ケア など 健康 教育 入れる 単身 世帯 など 病気 発見 遅れ 孤独 に対する 心配 ストレス 取り除く 取組み 行う 子ども 個性 伸ばせる 埼玉 家庭 経済 状況 発達 違い 関わら 全て 子ども たち 高い 教育 受け られる 体制 作る 個性 育む ため 大切 生後 年間 重視 保育園 幼稚園 向上 教育 人材 育成 行う 2020 オリンピック パラリンピック 向け 国際 教育 埼玉 郷土 醸成 する 災害 強く 犯罪 ない 安全 安心 埼玉 災害 帰宅 困難 意識 避難 備蓄 スペース 非難 経路 確保 防災 育成 地域 住民 防災 意識 向上 強化 振込 詐欺 など 犯罪 から 消費 守る 取組み 更に 強化 する ,13 13 29 29 29 40 29 13 13 13 33 13 29 29 13 29 29 29 23 29 29 13 29 29 29 29 29 29 33 29 29 29 29 33 29 13 5 7 29 7 13 13 29 29 13 13 29 13 13 13 29 29 29 13 29 13 29 23 29 13 13 13 13 29 29 29 16 13 13 17 29 29 5 13 13 29 13 13 13 29 13 29 13 13 5 23 29 29 13 29 13 23 40 29 33 13 33 13 13 13 13 13 13 29 29 13 13 13 29 29 29 29 17 40 13 29 29 29 29 29 29 29 13 13 13 29 29 13 29 29 7 13 29 29 13 13 29 33 40 7 29 33 29 13 29 13 29 29 29 13 29 29 29 13 29 13 29 29 29 16 5 13 33 29 29 13 29 29 29 29 29 29 13 13 29 13 29 13 13 13 13 29 29
松下 政経 松下 幸之助 薫陶 受け 地球 サイズ 考え 地域 サイズ 行動 する こと 大切 学ん こと 世界 輝く ゆたか 都市 慢性 人口 減少 傾向 歯止め かけ たい 創造 する による 都市 発展 静岡 持つ 豊か 地域 資源 発見 これ 強み として 新しい 価値 創造 いく これ によって 歴史 都市 文化 都市 中枢 都市 都市 内外 示し つつ 都市 として 魅力 求心力 高め 就学 就業 機会 拡大 都市 活力 維持 いく つながる による 暮らし 充実 市民 互いに 見える つながる 関係 代え がたい 静岡 強み ひとつ これ 活かし 市民 企業 行政 相互 連携 支え あい 安心 安全 高い 市民 生活 守っ いく シチズンシップ 醸成 新しい 公共 経営 推進 市民 による 主体 市政 参画 促す 同時に 行財政 効率 公共 資産 適正 など 推進 いく ,12 38 21 12 12 36 38 12 29 29 12 12 29 29 29 1 29 12 12 12 29 12 29 29 1 12 29 29 12 29 29 12 33 22 29 29 29 29 12 29 12 29 12 12 12 29 29 12 29 12 29 29 12 12 12 12 47 29 12 29 29 1 42 36 36 17 29 29 29 29 12 1 29 29 29 29 21 1 1 1 12 47 22 12 1 12 29 29 29 29 12 29 1 1 29 29 12 29 29 12 12 12 1 29 12 12 29 29 29 12 29 12 13 12 12 1 12 18 21 29 29 12
学生 時代 将来 約束 いる 政治 触れ合う 機会 あり 彼ら 舵取り 任せ いる 限り 普通 働い 暮らす 社会 実現 でき ない 思っ から また ここ 利益 誘導 政治 ニセ モノ 改革 断ち切ら なけれ 将来 自分 世代 子ども たち ツケ 払わさ れる 考え から 生まれ 育ち によって 選択肢 狭まら ない 挑戦 機会 られる 社会 ひとりひとり 自立 頑張っ 報わ れる 社会 気軽 地域 参加 できる 地域 一員 として 担っ いく 社会 育っ コト 誇り 持てる 住ん よかっ 思える ふるさと 世田谷 確立 世襲 政治 業界 出身 高齢 起因 する 政治 政治 距離 未来 向け 投資 拡充 する ため 政治 行政 あり方 見直す 地域 パブリック 活動 参加 情報 アクセス 過ぎる ハードル 既得 守り 公正 競争 環境 サービス 向上 阻害 する 規制 による より よい 暮らし 効率 両立 区内 公共 施設 無料 WiFi 設置 Twitter による 災害 緊急 情報 発信 強化 中高年 向け 格差 解消 支援 オープン データ 推進 により 民間 協業 市民 参加 促進 インターネット 活用 情報 公開 なる 推進 政治 行政 コスト 削減 議員 報酬 カット 否決 場合 まず 相当 政務 活動 自ら 全額 返上 (※ 現行 公選法 議員 報酬 返還 認め られ ない ため 区長 給与 カット 議員 定数 削減 複式 簿記 導入 による コスト 管理 推進 広告 収入 拡大 規制 緩和 民間 参入 促進 住み やすい 空き家 区立 公園 学校 子育て 施設 活用 規制 緩和 バウチャー・クーポン 補助 によって 当事者 選択 ある 教育 社会 保障 保育 介護 株式会社 参入 促進 東京 オリンピック その 向け 中長期 まち づくり 推進 ,16 29 29 14 29 29 45 17 29 17 17 45 29 45 27 17 17 29 17 29 29 29 29 29 17 29 17 29 17 17 27 27 29 29 29 29 29 29 17 17 29 29 29 29 17 17 29 17 29 45 17 29 29 45 29 17 29 29 29 17 29 29 29 29 45 29 17 29 29 17 17 17 17 17 17 17 27 39 29 45 29 17 27 29 17 29 29 29 17 29 29 17 29 29 29 29 29 27 17 29 17 27 29 27 27 45 27 17 33 17 45 29 29 29 45 29 17 29 29 29 29 45 17 45 17 29 17 45 29 22 29 29 45 27 29 29 17 29 29 29 29 27 27 29 29 17 45 29 29 17 45 29 17 27 29 17 29 29 27 27 29 29 27 45 45 17 45 29 29 29 29 45 17 29 45 29 29 45 29 29 29 29 27 17 27 29 29 27 29 17 45 29 45 17 29 27 45 45 17 34 29 29 17 29 29 45 27 45 29 29 29 29 17 29 45 27 17 17 17 29 29 29 29 29 29 17 29 17 29 27 29 29 17 29 29 29
地方 借金 1000 少し でも 減らし 世代 不安 負担 減らし たい 本当に 福祉 社会 支援 必要 だけ 行き わたる よう 行政 システム 合理 透明 たい ため 真面目 働く 報わ れる 社会 すぎる 職員 給与 行政 ムダ 市長 追認 機関 なっ いる 議会 子育て に対する 不安 ラスパイレス 指数 まず 未満 国税庁 出す 民間 給与 実態 参考 官民 格差 是正 行う 全員 一律 昇級 システム 是正 労働 組合 事務所 家賃 テナント 同じ 徴収 する 是々非々 市長 向き合う 議会 この 年間 一切 市長 提案 否決 ない 議会 機能 いる 言える 民意 反映 せる ため 否決 有り 議会 目指す それ 出来れ 議会 不要 なり ませ 安心 子育て できる 社会 安心 子供 産み 育てる 出来る 社会 こそ 地域 発展 ます 待機 児童 対策 もちろん 多様 保育 政策 教育 保育 一体化 推し進め ます ,29 17 31 29 47 47 29 47 29 47 29 47 29 29 29 29 29 39 49 29 29 29 16 29 29 29 47 29 29 29 29 49 17 6 29 17 47 49 29 29 39 29 29 47 47 39 47 10 47 49 47 29 6 6 29 47 29 39 29 29 47 47 6 39 47 32 29 34 47 29 47 29 17 47 10 29 29 29 47 47 29 38 29 29 29 29 39 47 47 29 29 47 47 47 29 39 17 29 39 29 29 29 29 29 29 29 29 29 29 31 29 29 29 39 29 47 29 47 29 47 31 29 29 29 47 47 29
自分 自身 なっ 未来 せる 政治 育て たい という 思い 年間 流通 業界 サラリーマン 経験 しかし 政策 流通 とき 政治 世界 流通 考え方 政治 世界 スローガン 地域 課題 問題 解決 取組む ため 政治 めざし まし 議員 身近 存在 なり 地域 行政 つなぐ 役割 担い 住民 政治 自ら 参加 問題 解決 する 考え方 もつ べき 考える 東京 オリンピック パラリンピック 向け 商業 観光 単体 行政 なく 外国 想定 取組み 近隣 自治体 連携 シナジー 効果 出し いく 取組み 商業 観光 行政 垣根 越え 商業 団体 中心 なり 近隣 自治体 連携 商業 中心 共通 スタンプ ラリー など 開催 外国 向け 企画 外国 向け 合同 語学 研修 マーケット 開催 行政 垣根 越え 賛同 する 商業 による 商業 マニフェスト 作成 する 若者 政治 参加 投票 低迷 選挙 なる にあたり 政治 身近 もの いく べき 考え 若者 政策 提言 できる 環境 づくり めざし 議員 活動 ソーシャルメディア 活用 Youtube 専用 ホームページ 開設 だい すけ ＴＶ http daisuke jimdo 若者 政治 興味 もっ もらう プラットホーム いる 公共 施設 充実 として 災害 避難 なる 学校 など トイレ 洋式 和式 洋式 使う 違う ので 水道 節約 なる ）㈪ 多目的 トイレ 環境 整備 として オストメイト 使用 易い トイレレイアウト 見直し 子ども 赤ちゃん 施設 充実 せる ため 赤ちゃん 制度 導入 取組ん ます ,29 29 29 29 29 29 29 29 29 29 29 38 46 29 29 7 29 38 38 29 38 38 38 29 38 38 29 29 29 29 4 29 29 29 29 29 38 29 29 29 29 38 29 38 29 29 7 29 29 29 29 38 38 29 29 29 38 7 29 38 29 38 29 29 38 34 22 38 38 29 38 48 38 29 38 38 29 29 38 38 38 29 29 29 38 38 29 38 29 38 38 38 29 29 38 29 38 38 29 29 22 22 38 29 29 38 38 46 29 38 29 38 38 34 29 29 29 29 38 29 38 29 38 29 29 29 29 34 29 29 29 38 29 29 29 38 29 29 22 29 38 38 7 38 7 34 38 7 38 7 29 29 5 38 38 38 29 29 29 29 29 29 29 29 29 29 38 38 38 38 38 38 46 46 38 29 38 46 38 29 29 29 29 29 38 38 29 29 38 29 29 29 29 38 29 29 38 29
町内 代表 を通じて 市政 ふれ 自分 できる こと 始め たい 思い 政治 目指し まし また 市政 なか サラリーマン 目線 とき 改革 できる こと する こと 増え でも 変える こと できれ 思い ます 自分 出る こと 政治 関心 持つ でも 増え 投票 少し 上がる こと 望み ます 子供 活発 まっすぐ 育つ こと できる 地域 あり 間違い 間違い として 罰せ られ 正しい こと 正しい 言える 地域 あっ ほしい 思い ます まじめ 生きる こと する という 社会 絶対 間違っ いる 正しい こと たら 褒め られ 間違っ こと たら 叱ら れる という こと 普通 ある 地域 たい 小学校 中学校 給食 生活 保護 不正 受給 公務員 不正 保育園 増設 待機 児童 政務 活動 不正 利用 給食 無償 する こと 教職員 業務 軽減 繋がり ます そう する こと 教職員 生徒 触れ あう ため 増え ます 給食 問題 いじめ 原因 ひとつ なり える こと です まずは ずつ 原因 取り除い いき たい です ,23 36 29 36 36 29 29 29 35 29 29 29 29 29 29 36 9 44 23 36 29 29 29 29 36 36 29 33 29 13 29 29 29 36 36 29 40 36 29 36 36 29 36 29 36 29 29 36 36 23 29 29 29 29 36 36 29 29 29 36 29 36 36 29 29 49 29 29 29 1 29 29 29 29 36 36 29 36 36 9 36 29 36 29 9 36 29 29 36 36 29 29 29 29 9 36 29 36 36 26 36 36 9 9 9 36 29 29 36 9 36 36 36 29 36 23 29 36 29 29 29 29 36 6 36 29 29 36 29 36 29 36 36 36 29 29 29 29 49 36 36 33 29 29 29
