syurui,ika,awabi,sazae
北海道,17920,33,0
青森県,25697,37,0
岩手県,4088,286,0
宮城県,6238,145,0
秋田県,0,17,99
山形県,1258,0,89
福島県,0,0,0
茨城県,1625,13,0
栃木県,0,0,0
群馬県,0,0,0
埼玉県,0,0,0
千葉県,938,99,289
東京都,0,0,0
神奈川県,0,0,274
新潟県,785,17,439
山梨県,0,0,0
長野県,0,0,0
富山県,2711,0,0
石川県,7271,0,338
福井県,1309,13,96
岐阜県,0,0,0
静岡県,0,26,310
愛知県,0,0,83
三重県,0,58,475
滋賀県,0,0,0
京都府,0,0,116
大阪府,0,0,0
兵庫県,7079,20,125
奈良県,0,0,0
和歌山県,0,0,0
鳥取県,3144,0,126
島根県,1948,16,421
岡山県,0,0,0
広島県,0,0,0
山口県,1638,35,624
徳島県,0,61,0
香川県,0,0,0
愛媛県,1858,45,338
高知県,0,0,0
福岡県,1026,39,157
佐賀県,0,13,89
長崎県,7961,50,1306
熊本県,0,0,0
大分県,763,16,151
宮崎県,0,0,0
鹿児島県,0,0,0
沖縄県,1821,0,0
