syurui,ebi,tuna,tai
遠洋底びき網 ,0,284,0
以西底びき網 ,0,35,13
沖合底びき網 １そうびき,13,2331,4
沖合底びき網 ２そうびき,1,270,20
小型底びき網 ,79,554,52
船びき網 ,16,1828,48
大中型 遠洋かつお･まぐろ１そうまき網,0,1840,0
大中型 近海かつお･まぐろ１そうまき網,0,431,0
大中型 その他の１そうまき網,0,5232,2
大中型 ２そうまき網,0,535,0
中・小型まき網 ,0,4224,3
さけ・ます流し網 ,0,70,0
かじき等流し網 ,0,35,0
その他の刺網 ,15,1472,26
さんま棒受網 ,0,1483,0
定置網 大型定置網,0,2137,17
定置網 さけ定置網,0,1322,0
定置網 小型定置網,1,767,14
その他の網漁業 ,15,363,2
まぐろはえ縄 遠洋まぐろはえ縄,0,989,0
まぐろはえ縄 近海まぐろはえ縄,0,419,0
まぐろはえ縄 沿岸まぐろはえ縄,0,60,0
その他のはえ縄 ,0,241,13
かつお一本釣 遠洋かつお一本釣,0,668,0
かつお一本釣 近海かつお一本釣,0,404,0
かつお一本釣 沿岸かつお一本釣,0,156,0
いか釣 遠洋いか釣,0,0,0
いか釣 近海いか釣,0,0,0
いか釣 沿岸いか釣,0,0,0
ひき縄釣 ,0,165,0
その他の釣 ,0,331,22
採貝・採藻 ,0,0,0
その他の漁業 ,31,77,1
