name,value,font
Africa,11506,sans-serif
Antarctica,5500,sans-serif
Asia,16988,sans-serif
Australia,2968,sans-serif
Axel Heiberg,16,sans-serif
Baffin,184,arial
Banks,23,arial
Borneo,280,arial
Britain,84,arial
Celebes,73,arial
Celon,25,arial
Cuba,43,poppins
Devon,21,poppins
Ellesmere,82,poppins
Europe,3745,poppins
Greenland,840,poppins
Hainan,13,poppins
Hispaniola,30,lora
Hokkaido,30,lora
Honshu,89,lora
Iceland,40,lora
Ireland,33,lora
Java,49,lora
Kyushu,14,lora
Luzon,42,lora
Madagascar,227,nunito
Melville,16,nunito
Mindanao,36,nunito
Moluccas,29,nunito
New Britain,15,nunito
New Guinea,306,nunito
New Zealand (N),44,nunito
New Zealand (S),58,nunito
Newfoundland,43,nunito
North America,9390,nunito
Novaya Zemlya,32,inconsolata
Prince of Wales,13,inconsolata
Sakhalin,29,inconsolata
South America,6795,inconsolata
Southampton,16,inconsolata
Spitsbergen,15,inconsolata
Sumatra,183,inconsolata
Taiwan,14,inconsolata
Tasmania,26,inconsolata
Tierra del Fuego,19,inconsolata
Timor,13,inconsolata
Vancouver,12,inconsolata
Victoria,82,inconsolata
